,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
올웨이즈어거스트로스터스,커피56,라떼18,케이크12,아메리카노10,쿠키4,맛85,만족도64,분위기29,서비스17,가격5,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
딜리커피 망원,샌드위치65,커피33,젤라또27,아이스크림11,치킨11,맛70,만족도55,서비스28,가격12,분위기8,커피가 맛있어요,가성비가 좋아요,디저트가 맛있어요,친절해요,매장이 청결해요
후와후와,소금빵7,베이글3,식빵2,카스테라1,밤식빵1,맛8,만족도4,메뉴2,분위기1,서비스1,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,매장이 청결해요
밀로밀,소금빵162,바게트36,치아바타34,까눌레32,타르트26,맛253,만족도110,서비스33,가격13,분위기5,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,매장이 청결해요
티노마드,"빙수1,165",화과자367,말차빙수357,라떼125,녹차118,"만족도3,554","맛2,459","분위기1,696",서비스629,예약222,인테리어가 멋져요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,음료가 맛있어요
베이코닉 브런치바,케이크12,파스타11,토스트10,프렌치토스트10,팬케이크10,맛62,만족도49,분위기14,서비스14,메뉴10,음식이 맛있어요,재료가 신선해요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요
커피가게동경,아인슈페너206,커피168,드립커피12,밀크티12,비엔나커피8,맛342,만족도168,분위기41,서비스39,메뉴20,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
크림데이 글루텐프리 케이크샵,케이크394,치즈43,우유34,치즈케이크33,딸기케이크30,맛714,만족도465,서비스151,목적81,예약20,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,선물하기 좋아요,건강한 맛이에요
포트레이트커피바,커피95,라떼24,토스트20,프렌치토스트17,바질13,맛156,만족도122,서비스46,분위기42,방역4,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요
레스피레,소금빵242,커피103,라떼31,크로와상14,아인슈페너13,맛352,만족도194,분위기64,서비스59,대기시간12,커피가 맛있어요,빵이 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요
망원 지튼,커피95,케이크31,타르트24,까눌레21,쿠키17,맛179,만족도135,분위기61,서비스25,메뉴16,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
커넥츠커피 망원,커피387,라떼65,푸딩28,드립커피25,아메리카노24,맛483,만족도302,서비스140,분위기78,메뉴59,커피가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요,인테리어가 멋져요
모을,커피14,과일11,드립커피3,핸드드립2,토스트1,만족도15,맛11,분위기6,서비스3,메뉴2,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,집중하기 좋아요
이이알티 망원,커피63,라떼20,과일17,드립커피13,과일차12,만족도173,맛153,분위기86,서비스38,청결도7,인테리어가 멋져요,음료가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요
라바즈,타르트26,과일9,휘낭시에6,케이크4,밀푀유4,맛89,만족도65,서비스18,목적5,가격5,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,매장이 청결해요,인테리어가 멋져요
콘웰,커피85,빙수23,크로플23,옥수수19,케이크10,맛162,만족도124,서비스66,분위기50,메뉴12,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
두두리두팡,케이크39,까눌레13,치즈12,치즈케이크7,커피7,맛91,만족도71,서비스12,가격12,분위기6,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,매장이 청결해요,커피가 맛있어요
딥블루레이크,커피247,라떼52,아메리카노24,파운드케이크17,드립백16,맛320,만족도209,서비스52,분위기40,메뉴18,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
보통공원,커피74,라떼12,와인7,핸드드립6,과일5,만족도133,맛130,분위기75,서비스54,메뉴6,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음료가 맛있어요
광합성카페,토스트229,프렌치토스트210,커피138,브루스케타93,티라미수62,맛764,만족도668,분위기260,메뉴105,서비스105,인테리어가 멋져요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요
모아새,,,,,,만족도77,맛59,목적29,서비스12,대기시간4,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
이스트우드 망원점,휘낭시에123,커피100,라떼22,라자냐17,구움과자13,맛263,만족도167,서비스64,메뉴31,분위기24,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
락떼스피릿,커피218,라떼107,브라우니23,아인슈페너14,쿠키11,맛360,만족도227,서비스123,분위기75,대기시간18,커피가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
필리커피,커피19,라떼9,인절미7,크로와상3,푸딩2,맛36,만족도33,서비스21,분위기11,청결도1,커피가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요,사진이 잘 나와요
구스커피앤바,커피64,칵테일17,라떼7,얼그레이5,아인슈페너5,맛72,만족도72,분위기49,서비스22,메뉴2,커피가 맛있어요,인테리어가 멋져요,대화하기 좋아요,친절해요,디저트가 맛있어요
미완성식탁,마카롱171,옥수수23,뚱카롱14,바질7,우유7,맛177,만족도130,서비스37,목적19,가격6,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
프레쎄,쿠키144,커피36,흑임자29,라떼23,흑임자라떼19,맛191,만족도119,목적37,서비스25,분위기18,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,인테리어가 멋져요
블랑제리코팡,바게트197,바질127,샌드위치58,크로와상52,치즈50,맛585,만족도228,서비스41,메뉴14,가격8,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
카페뎀셀브즈 망원동 소아과점,커피139,라떼18,아메리카노7,크림라떼7,치즈5,만족도185,맛164,분위기65,서비스32,메뉴10,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요,디저트가 맛있어요
흐쎄트,식빵29,까눌레17,우유11,우유식빵11,휘낭시에7,맛124,만족도54,서비스22,메뉴7,목적4,빵이 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,커피가 맛있어요
루아르 망원,커피111,라떼21,밀크티16,쿠키13,휘낭시에12,맛194,만족도153,서비스60,분위기40,메뉴25,커피가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요
도쿄빙수 망원본점,빙수271,망고빙수17,우유14,녹차9,애플망고빙수9,맛315,만족도136,서비스25,분위기17,메뉴11,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
HHSS HOUSE,커피13,스무디2,드립커피2,스콘1,핸드드립1,만족도22,맛9,분위기6,서비스2,전망2,뷰가 좋아요,커피가 맛있어요,인테리어가 멋져요,차분한 분위기에요,오래 머무르기 좋아요
단고당,화과자20,커피19,타르트16,팥빙수13,빙수12,맛112,만족도69,서비스22,분위기15,목적12,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요
바이어리셔,타르트59,까눌레57,에그타르트56,치즈41,케이크41,맛156,만족도98,서비스23,목적18,가격6,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
키오스크,토스트53,프렌치토스트30,커피11,밀크티5,아이스크림4,맛60,만족도41,음식량6,메뉴5,가격4,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요
푸쉬오프 커피앤바,커피43,푸딩31,바나나푸딩22,토스트20,샌드위치17,맛82,만족도70,분위기24,서비스22,메뉴6,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
엣모스피어,마카롱125,케이크42,커피29,쿠키8,밀크티8,맛159,만족도117,서비스26,분위기18,목적16,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
히카,케이크72,커피61,라떼31,크림라떼14,브라우니10,맛162,만족도115,서비스46,분위기20,메뉴10,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
카스테라연구소,카스테라222,커피40,라떼13,우유9,아메리카노7,맛263,만족도151,서비스42,분위기35,목적16,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요
무계획,커피40,크로플39,치즈13,아인슈페너8,아이스크림7,맛91,만족도83,분위기26,서비스19,가격2,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음료가 맛있어요
페이브먼트,타르트20,커피18,라떼4,핸드드립2,아메리카노2,맛34,만족도23,분위기18,서비스15,메뉴3,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
차차,팟타이35,쌀국수26,똠양꿍22,새우9,쏨땀8,맛250,만족도106,음식량31,서비스30,분위기13,음식이 맛있어요,재료가 신선해요,양이 많아요,친절해요,특별한 메뉴가 있어요
로우머,커피42,라떼28,크림라떼15,아메리카노8,얼그레이6,맛93,만족도92,분위기46,서비스15,메뉴9,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요,디저트가 맛있어요
온리디스베이커리,커피26,소금빵23,휘낭시에18,치즈11,라떼11,맛61,만족도42,서비스9,목적9,분위기7,빵이 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
프렌치 망원,토스트62,커피60,프렌치토스트47,라떼12,밀크티9,맛104,만족도76,분위기32,서비스26,메뉴16,커피가 맛있어요,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
마떼아,마카롱108,마들렌36,구움과자17,휘낭시에9,약과9,맛134,만족도73,서비스32,목적20,메뉴6,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,선물하기 좋아요
파사도 망원,커피107,휘낭시에29,라떼21,아인슈페너17,크로칸슈16,맛205,만족도202,분위기122,서비스51,메뉴18,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,사진이 잘 나와요,친절해요
비고미,커피16,라떼15,쿠키13,비스코티11,마들렌10,맛65,만족도61,서비스40,분위기6,메뉴4,친절해요,빵이 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요
웅파이 망원점,치킨31,고기18,맥주10,소세지10,치즈9,맛289,만족도157,서비스91,음식량6,메뉴6,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
키토빵앗간,휘낭시에50,쿠키25,치즈24,커피19,케이크17,맛157,만족도144,서비스76,위치10,분위기7,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
콜트 커피바,커피34,파스타10,맥주9,아메리카노6,와인5,만족도72,맛57,분위기38,서비스20,메뉴9,인테리어가 멋져요,커피가 맛있어요,친절해요,사진이 잘 나와요,매장이 청결해요
망원동티라미수 본점,티라미수199,커피44,밀크티20,아메리카노17,딸기티라미수15,맛467,만족도222,서비스43,메뉴26,가격22,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
위켄드케이크,케이크37,레터링케이크7,치즈2,주문제작케이크2,크림치즈1,만족도35,맛25,서비스18,목적8,가격3,디저트가 맛있어요,선물하기 좋아요,친절해요,특별한 메뉴가 있어요,주문제작을 잘해줘요
커차그,커피15,식혜3,치즈3,다식2,드립커피2,맛29,만족도28,서비스12,분위기11,음식량3,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,커피가 맛있어요,매장이 청결해요
평형,커피17,쿠키8,드립커피7,키슈7,핸드드립3,맛22,만족도20,분위기7,서비스6,방역1,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
에스트 에스트 에스트,커피49,까눌레40,휘낭시에40,라떼18,케이크9,맛119,만족도81,서비스34,분위기28,메뉴19,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
9ram,커피43,젤리23,라떼15,휘낭시에15,브라우니10,맛86,만족도65,서비스40,분위기23,메뉴9,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
카페하모니,푸딩6,쿠키4,마들렌4,라떼4,커피3,만족도77,맛20,가격17,분위기15,예약9,인테리어가 멋져요,사진이 잘 나와요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요
버터크림팩토리 bucfac,타르트61,에그타르트53,커피9,라떼3,잡채1,맛87,만족도50,서비스13,목적9,메뉴3,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,음료가 맛있어요
포스트 노 빌즈,커피65,푸딩11,바나나푸딩11,에이드7,라떼7,맛90,만족도72,서비스35,분위기28,메뉴4,커피가 맛있어요,친절해요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요
버터베이커리,바게트127,앙버터51,케이크47,치아바타44,치즈42,맛677,만족도309,서비스61,메뉴26,음식량18,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
무슈부부 커피스탠드,커피87,에스프레소53,콘파냐10,위스키9,칵테일5,맛118,만족도100,서비스34,분위기11,메뉴11,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
망디,커피25,라떼14,마들렌13,휘낭시에12,쿠키4,맛48,만족도36,서비스12,분위기7,위치4,커피가 맛있어요,친절해요,빵이 맛있어요,음료가 맛있어요,매장이 청결해요
케이크 작업실 : 스튜디오 시루모락,케이크48,떡케이크21,흑임자14,커피12,마카롱8,맛129,만족도107,서비스47,분위기25,목적17,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,매장이 청결해요
코코부코,쉐이크30,커피15,스무디5,코코넛스무디3,코코넛커피2,맛77,만족도38,서비스10,위치3,메뉴2,음료가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,디저트가 맛있어요
카카오다다,초콜릿14,케이크6,초코케이크5,쉐이크4,쿠키2,맛27,만족도24,목적5,음식량2,청결도1,특별한 메뉴가 있어요,디저트가 맛있어요,음료가 맛있어요,매장이 청결해요,선물하기 좋아요
페트롤플레이스,커피101,라떼23,티라미수15,케이크12,에이드8,맛140,만족도123,분위기76,서비스32,메뉴7,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,디저트가 맛있어요
하이놀리,소금빵17,치아바타14,브리오슈12,식빵6,호밀빵5,맛127,만족도77,서비스41,음식량3,가격3,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,매장이 청결해요
비바쌀롱,라떼9,커피8,초코라떼2,말차라떼1,크림라떼1,만족도87,맛26,서비스20,분위기9,메뉴4,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,사진이 잘 나와요,커피가 맛있어요
망원수제고로케,고로케343,꽈배기180,도넛70,찹쌀꽈배기58,찹쌀도너츠46,맛967,만족도527,가격85,서비스55,대기시간35,빵이 맛있어요,가성비가 좋아요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
79파운야드 망원본점,크로플289,커피133,케이크28,와플26,아메리카노21,맛485,만족도398,분위기178,서비스96,메뉴35,인테리어가 멋져요,빵이 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요
까페 빈틈 M,와플36,빙수28,커피26,라떼12,과일6,만족도81,맛69,서비스31,분위기24,메뉴8,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
꼬르소산도,라떼45,커피32,카페라떼3,티라미수2,우유2,맛83,만족도36,분위기26,서비스11,가격3,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요
카페 고잉홈,커피12,쿠키6,바질2,치즈2,토스트2,만족도24,맛14,분위기5,서비스4,목적1,커피가 맛있어요,디저트가 맛있어요,친절해요,집중하기 좋아요,음료가 맛있어요
컵스커피,커피76,크로플26,라떼9,치즈8,아메리카노5,맛91,만족도71,서비스48,분위기40,메뉴4,커피가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요,매장이 청결해요
도래노트,커피39,츄러스21,푸딩7,라떼4,드립커피4,맛40,만족도29,서비스25,분위기8,가격2,커피가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요,인테리어가 멋져요
레이지독 케이크,케이크69,레터링케이크16,주문제작케이크12,치즈9,얼그레이8,만족도79,맛46,목적30,서비스27,분위기3,주문제작을 잘해줘요,디저트가 맛있어요,선물하기 좋아요,친절해요,특별한 메뉴가 있어요
픽셀,케이크69,도시락5,레터링케이크5,도시락케이크4,마카롱3,만족도102,서비스39,맛39,목적18,가격5,디저트가 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,가성비가 좋아요
WHH 와하하,크로플200,커피65,라떼51,치즈48,에이드46,맛241,만족도198,서비스98,분위기75,메뉴24,디저트가 맛있어요,음료가 맛있어요,친절해요,커피가 맛있어요,인테리어가 멋져요
범골커피,커피17,라떼4,튀김2,아메리카노1,맥주1,만족도20,맛19,분위기9,서비스5,위치4,커피가 맛있어요,인테리어가 멋져요,친절해요,집중하기 좋아요,매장이 청결해요
모구모구과자점 인 망원,휘낭시에38,쿠키27,커피24,소금빵13,치즈13,맛105,만족도71,서비스34,메뉴12,가격9,빵이 맛있어요,친절해요,커피가 맛있어요,매장이 청결해요,가성비가 좋아요
도피,샌드위치93,커피39,스콘10,요거트9,치즈9,맛201,만족도150,서비스73,분위기35,메뉴12,친절해요,특별한 메뉴가 있어요,디저트가 맛있어요,음식이 맛있어요,인테리어가 멋져요
고미푸딩 망원점,푸딩74,커피12,커스터드7,우유3,얼그레이1,맛68,만족도50,서비스20,분위기8,가격5,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요,인테리어가 멋져요
구뜨몽떼,커피10,드립커피4,타르트3,케이크3,쿠키3,맛52,만족도46,목적17,서비스14,분위기2,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
언더지,커피14,맥주7,라떼6,위스키4,쿠키3,만족도33,분위기27,맛22,서비스15,가격5,인테리어가 멋져요,커피가 맛있어요,친절해요,대화하기 좋아요,디저트가 맛있어요
빵쌤 마포구청점,커피80,샌드위치21,케이크16,고구마빵13,식빵13,맛414,만족도343,서비스56,메뉴30,분위기30,빵이 맛있어요,커피가 맛있어요,매장이 청결해요,친절해요,대화하기 좋아요
리벌티 망원,커피70,쿠키19,소금빵18,라떼16,아인슈페너15,맛130,만족도94,분위기52,서비스25,메뉴5,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음료가 맛있어요
셀렉티드 커피앤스윗츠,커피135,스콘106,라떼23,퐁당쇼콜라20,핸드드립18,맛264,만족도184,서비스162,분위기61,메뉴23,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
레귤러서비스,바질22,샌드위치20,커피11,밀크티11,라떼9,맛62,만족도34,서비스23,메뉴19,분위기4,음료가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요
헤비타트테이블,커피20,타코13,위스키7,하이볼6,치킨5,만족도38,맛34,분위기23,서비스12,가격4,인테리어가 멋져요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요
리오네,케이크25,커피24,타르트24,쿠키18,라떼13,맛134,만족도80,서비스35,분위기16,메뉴6,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요
카인들리,커피9,마들렌5,라떼5,휘낭시에5,흑임자4,맛16,만족도13,서비스12,분위기5,목적2,디저트가 맛있어요,친절해요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요
소소 베이크하우스,바게트39,샌드위치34,치아바타14,식빵14,타르트12,맛117,만족도49,서비스15,가격8,메뉴3,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,매장이 청결해요
고카페인클럽,커피25,샌드위치11,요거트7,쿠키5,티라미수3,맛66,만족도63,서비스14,분위기12,청결도2,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요
요거멜로우,요거트44,그릭요거트18,샌드위치14,과일9,샐러드6,맛84,만족도40,서비스18,음식량10,메뉴4,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,매장이 청결해요,가성비가 좋아요
이노몬트,커피56,라떼11,밀크티7,아메리카노7,에스프레소6,맛79,만족도55,분위기34,서비스25,메뉴10,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
피엠오,커피29,에스프레소26,아인슈페너6,아메리카노4,콘파냐3,맛46,만족도43,서비스20,분위기15,메뉴4,커피가 맛있어요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요,가성비가 좋아요
퍼스널커피,커피156,라떼97,약과39,스콘39,쿠키34,맛317,만족도222,서비스86,분위기69,메뉴32,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요
시모어,커피18,와인16,라떼7,바닐라라떼6,밀크티5,만족도39,맛30,분위기15,메뉴11,서비스7,인테리어가 멋져요,친절해요,커피가 맛있어요,음료가 맛있어요,사진이 잘 나와요
고체,젤리122,과일10,곤약젤리4,푸딩1,안심1,만족도95,맛92,서비스29,목적23,분위기6,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
주인공,커피32,라떼28,치즈25,케이크25,치즈케이크24,맛73,만족도66,서비스29,분위기29,메뉴3,인테리어가 멋져요,친절해요,디저트가 맛있어요,커피가 맛있어요,사진이 잘 나와요
꽈페 망원점,꽈배기104,커피13,치즈11,티라미수9,크림브륄레8,맛213,만족도156,서비스72,메뉴23,목적22,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
엔티프,파르페16,구움과자15,커피13,마들렌11,까눌레10,맛77,만족도73,서비스45,분위기23,목적13,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요
나우올네버,커피12,마들렌6,푸딩5,파르페4,쿠키3,만족도25,맛21,서비스11,분위기6,목적1,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요
M1CT,커피29,쉐이크3,아이스크림3,쿠키3,라떼3,맛34,만족도21,서비스14,분위기2,위치1,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,디저트가 맛있어요
돌담마루커피바,커피19,필터커피4,쿠키3,라떼3,휘낭시에3,맛22,만족도16,서비스12,분위기3,가격1,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
merrily,케이크14,타르트13,휘낭시에10,커피10,구움과자8,맛57,만족도33,서비스15,분위기10,목적5,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요
르뻬떼,커피8,젤리3,하이볼2,나쵸2,핫도그2,맛9,만족도7,서비스5,분위기4,위치1,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
트래피 커피,커피35,라떼7,드립커피4,에스프레소4,바닐라라떼4,맛53,만족도46,분위기14,서비스13,메뉴10,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,매장이 청결해요
피피커피,커피17,드립커피3,초콜릿2,핸드드립2,라떼1,맛14,만족도14,서비스3,분위기1,가격1,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요,인테리어가 멋져요
오늘의 위로,케이크30,타르트18,쿠키7,커피6,까눌레6,맛81,만족도31,서비스7,메뉴3,가격2,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요
프라이빗커피하우스,커피26,하이볼5,스콘4,라떼3,크로플3,맛47,만족도30,서비스23,분위기21,메뉴6,커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요
카페씨멘트,크로플28,커피28,라떼14,치즈7,쥬스7,맛107,만족도97,서비스43,분위기42,메뉴6,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요
베베크,커피1,케이크1,소금빵1,치즈1,베이글1,커피1,케이크1,소금빵1,치즈1,베이글1,,,,,
