,name,cafe_type
100,앙코케이크,케이크전문
101,래핑폭스,브런치
102,리버럴커피스탠드,카페
103,배스킨라빈스 연희사러가점,아이스크림
104,올드프렌드,카페
105,투썸플레이스 서대문연희점,카페
106,더니커피,"카페,디저트"
107,AREA092,"카페,디저트"
108,피카니피카노,베이커리
109,이디야커피 연남동점,카페
110,오름카페,카페
111,이공커피 연희점,"카페,디저트"
112,파리바게뜨 연희점,베이커리
113,빙달 연희점,빙수
114,니드모어커피,"카페,디저트"
115,메가MGC커피 연희점,카페
116,ANNIV,"카페,디저트"
117,카페 샘,"카페,디저트"
118,에쉬본,카페
119,메르시보꾸,"카페,디저트"
120,파리바게뜨 연희대우점,베이커리
121,바벨의 도서관,테마카페
122,이디야커피 연희홍연길점,카페
123,오늘,베이커리
124,연남장,브런치
125,마켓까눌레,"카페,디저트"
126,녹다,"카페,디저트"
127,미미에토,"카페,디저트"
128,비긴커피,"카페,디저트"
129,성북당 십원빵 연세대점,"카페,디저트"
130,이디야커피 연희삼거리점,카페
131,스케네 연희점,"카페,디저트"
132,카페1997,"카페,디저트"
133,쥬씨 연희점,"과일,주스전문점"
134,WP커피,카페
135,파리바게뜨 연희안산점,베이커리
136,커피랩로스터스,카페
137,"카페, 어서","카페,디저트"
138,와이베를린,갤러리카페
139,연희문화살롱,"카페,디저트"
140,카페인더포레스트,"카페,디저트"
141,카페리코,"카페,디저트"
142,더클래식,"카페,디저트"
143,파도바,"카페,디저트"
144,쏘잉구떼 양과점,"카페,디저트"
145,데이지카페,"카페,디저트"
146,아이스프링카페,카페
147,오몽듀,베이커리
148,빽다방 연희삼거리점,테이크아웃커피
149,마룬,"카페,디저트"
150,팔레트샐러드 연희점,브런치
151,연희다방,"카페,디저트"
152,에쏘하우스,"카페,디저트"
153,황금찹쌀꽈배기 연희점,베이커리
154,연희롱블랙,테이크아웃커피
155,이디야커피 서대문구청점,카페
156,가비노,"카페,디저트"
157,카페로이,카페
158,아지트,"카페,디저트"
159,전통찻집다향,차
160,더 미디엄,북카페
161,해피데이,라이브카페
162,매머드커피 서대문구청점,카페
163,무무인서울,"카페,디저트"
164,커피나루,"카페,디저트"
165,허니도우연희점,"카페,디저트"
166,카페도비,베이커리
167,연희와플,와플
168,MUSEUM CAFE,"카페,디저트"
169,카페 일상,"카페,디저트"
170,메가크로플,"카페,디저트"
171,로덴드론 연희3호점,브런치
172,템테이션,카페
173,푸어린,"카페,디저트"
174,노란손수건커피 본점,테이크아웃커피
175,유어브레드,베이커리
176,Sous Le Theier,차
177,리치웰 서대문자연사점,"카페,디저트"
178,언더그라운드,"카페,디저트"
179,IGWA,"카페,디저트"
180,에이치,카페
181,하이천사,카페
182,오렌지커피,카페
183,LUMOS cake,"카페,디저트"
184,카페 그레이스,"카페,디저트"
185,아소,"카페,디저트"
186,다이어트랩 연희점,"카페,디저트"
187,컵카페,"카페,디저트"
188,라온카페,"카페,디저트"
189,이방인,카페
190,카페 산들바람,"카페,디저트"
191,CO끼리,카페
192,부향식품,베이커리
193,호이차 연대서문점,"카페,디저트"
194,브레디포스트 연남,"카페,디저트"
195,커피 벌스데이,"카페,디저트"
196,팽페르뒤,"카페,디저트"
197,으믐,카페
198,만동제과,베이커리
199,코코로카라,베이커리
200,카페 공명 연남점,"카페,디저트"
201,라헬의부엌 홍대점,"카페,디저트"
202,아오이토리,베이커리
203,PITC,"카페,디저트"
204,바나나하루키,"카페,디저트"
205,고요베이크샵,"카페,디저트"
206,마크스로프트,베이커리
207,스트로베리32 연남본점,베이커리
208,베베베 신촌점,베이글
209,슈크렌느,"카페,디저트"
210,파이인더샵,"카페,디저트"
211,943 킹스크로스CAFE,"카페,디저트"
212,일쩜오플로어,베이커리
213,철부지붕어빠,"카페,디저트"
214,파이홀,카페
215,하우에버 연남,"카페,디저트"
216,표정,"카페,디저트"
217,츄로101 홍대본점,카페
218,앤티크커피 연남점,"카페,디저트"
219,오퍼 카페,"카페,디저트"
220,서울페이스트리 연남점,베이커리
221,르바게트 메종,베이커리
222,카페 레이어드 연남점,"카페,디저트"
223,그루밍커피,"카페,디저트"
224,펠른,카페
225,청수당공명,"카페,디저트"
226,코티지블루,브런치카페
227,랜디스도넛 연남점,도넛
228,마가렛 연남,"카페,디저트"
229,버터베이커리,베이커리
230,훌리건 커피,"카페,디저트"
231,베이크 샵 하벳,"카페,디저트"
232,모리노코,"카페,디저트"
233,치플레,베이커리
234,17도씨,초콜릿전문점
235,카페드댕,"카페,디저트"
236,리히트,케이크전문
237,하우스오브바이닐 연남점,"카페,디저트"
238,커피하우스,"카페,디저트"
239,오버딥,"카페,디저트"
