카페ID,카페이름,방문자리뷰,블로그리뷰,주소
20882788.0,파리바게뜨 연희대우점,1083,4,서울 서대문구 연희로 44 1층
1546540481.0,바벨의 도서관,62,8,서울 서대문구 연희로10길 64
1564331403.0,이디야커피 연희홍연길점,5,1,서울 서대문구 홍연길 63-3 1층
1064804903.0,오늘,1612,4442,서울 마포구 동교로 262-13 1.5층 오늘그대와 본점
1760425180.0,연남장,557,4442,서울 서대문구 연희로5길 22 1층 연남장
1128595707.0,마켓까눌레,2,1,서울 서대문구 홍연길 69 1층
1447058101.0,미미에토,82,173,서울 서대문구 연희로 153-4
1338808846.0,비긴커피,74,36,서울 서대문구 연희맛로 41 1F
1600685694.0,성북당 십원빵 연세대점,14,1,서울 서대문구 연희로10길 31 1층 101호
36721135.0,스케네 연희점,110,11,서울 서대문구 홍제천로 6
1306927987.0,카페1997,1,1,서울 서대문구 연희로31길 24-12 1층
1388383414.0,WP커피,315,15,서울 서대문구 연희로 89-11 1층
18252035.0,파리바게뜨 연희안산점,1113,4,"서울 서대문구 연희로 198 1,2층"
34348951.0,커피랩로스터스,27,15,서울 서대문구 연희로 52-2
1234686967.0,"카페, 어서",48,48,서울 서대문구 연희로 57 1층 102호
639777033.0,와이베를린,2,2,서울 서대문구 홍연길 67
1789900326.0,연희문화살롱,20,19,서울 서대문구 연희로 89-12 2층 201호
1013937090.0,카페인더포레스트,10,10,서울 서대문구 연희로 147 1층
11562617.0,카페리코,157,10,서울 마포구 마포대로12길 57 청솔피아노
1409319673.0,파도바,1,1,서울 서대문구 연희로26길 32 1층 101호
1428844673.0,쏘잉구떼 양과점,1,3,서울 서대문구 연희로 46-1 2층 202호
1238217011.0,데이지카페,217,4,서울 서대문구 모래내로 380
1900352602.0,아이스프링카페,242,7,서울 서대문구 연희로32길 19
1883552123.0,오몽듀,29,19,서울 서대문구 성산로18길 3 1층
1311192596.0,빽다방 연희삼거리점,124,4,서울 서대문구 연희로 118 1층 4호
35977819.0,마룬,122,15,서울 서대문구 연희로26가길 14 1층 아키엑스빌딩
1212605834.0,팔레트샐러드 연희점,303,147,서울 서대문구 연희로 83 은혜빌딩 B1층
198726407.0,연희다방,8,16,서울 서대문구 연희로11라길 10-6 은는 1층
35031928.0,에쏘하우스,479,12,서울 서대문구 연희로36길 10
1944434824.0,연희롱블랙,12,1,서울 서대문구 연희로10길 86 연희롱블랙
1207535641.0,이디야커피 서대문구청점,625,1,서울 서대문구 연희로 237
1283239259.0,가비노,13,4,서울 서대문구 연희로15안길 2 1층 가비노
1357275594.0,카페로이,203,8,서울 서대문구 연희로 241
36547602.0,전통찻집다향,0,0,서울 서대문구 연희맛로 34 남강빌딩
19449292.0,더 미디엄,4,4,서울 서대문구 연희로15길 27
1590785961.0,무무인서울,5,4,서울 서대문구 연희맛로 17-16 2층 우측
1257089355.0,허니도우연희점,7,33,서울 서대문구 연희로11가길 53 1층
1140252547.0,카페도비,9,9,서울 서대문구 증가로 23 1층
1887301004.0,MUSEUM CAFE,0,0,서울 서대문구 연희로32길 51
1588257798.0,로덴드론 연희3호점,56,30,서울 서대문구 연희로11라길 7
33239014.0,템테이션,2,2,서울 서대문구 연희로 139-6
1427196233.0,푸어린,17,1,서울 서대문구 연희로11나길 7-7
20388986.0,노란손수건커피 본점,15,5,서울 서대문구 연희맛로 18
1015572082.0,유어브레드,0,0,서울 서대문구 연희로 109
1470436838.0,Sous Le Theier,0,0,서울 서대문구 성산로 291
1420386934.0,리치웰 서대문자연사점,530,530,"서울 서대문구 연희로32길 51 , 1층"
233967213.0,IGWA,2,2,서울 서대문구 연희로10길 31
1084281645.0,LUMOS cake,1,1,서울 서대문구 연희로15안길 6-4
1940804896.0,다이어트랩 연희점,5,5,서울 서대문구 연희로10길 37
1990953407.0,CO끼리,0,0,서울 서대문구 연희로31길 24-12 1층
18257972.0,부향식품,0,0,서울 서대문구 연희로26나길 9
1618240240.0,브레디포스트 연남,129,230,서울 마포구 연남로 8 1층
1213231016.0,커피 벌스데이,456,1211,서울 마포구 와우산로29길 26-33 1층 커피 벌스데이
1300378937.0,팽페르뒤,251,33,서울 마포구 동교로38길 12 2층
1888210838.0,으믐,34,32,서울 마포구 성미산로 29 1층
1038526987.0,만동제과,4897,3264,서울 서대문구 연희로 32
1601437484.0,코코로카라,3620,2184,서울 마포구 연남로1길 41
