,code,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
고카페인클럽,1502148422.0,커피25,샌드위치11,요거트7,쿠키5,티라미수3,맛66,만족도63,서비스14,분위기12,청결도2,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요
요거멜로우,1475750515.0,요거트44,그릭요거트18,샌드위치14,과일9,샐러드6,맛84,만족도40,서비스18,음식량10,메뉴4,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,매장이 청결해요,가성비가 좋아요
이노몬트,1799713903.0,커피57,라떼11,밀크티7,아메리카노7,에스프레소6,맛80,만족도56,분위기35,서비스25,메뉴10,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
피엠오,1602129941.0,커피29,에스프레소26,아인슈페너6,아메리카노4,콘파냐3,맛46,만족도43,서비스20,분위기15,메뉴4,커피가 맛있어요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요,가성비가 좋아요
퍼스널커피,1215776119.0,커피156,라떼97,약과39,스콘39,쿠키34,맛317,만족도222,서비스86,분위기69,메뉴32,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요
시모어,1792589515.0,커피18,와인16,라떼7,바닐라라떼6,밀크티5,만족도39,맛30,분위기15,메뉴11,서비스7,인테리어가 멋져요,친절해요,커피가 맛있어요,음료가 맛있어요,사진이 잘 나와요
고체,1750572755.0,젤리123,과일11,곤약젤리4,푸딩1,안심1,만족도95,맛93,서비스29,목적23,가격6,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
주인공,1297713738.0,커피32,라떼28,치즈25,케이크25,치즈케이크24,맛74,만족도67,서비스29,분위기29,메뉴3,인테리어가 멋져요,친절해요,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요
꽈페 망원점,1332344406.0,꽈배기104,커피13,치즈11,티라미수9,크림브륄레8,맛213,만족도157,서비스72,메뉴23,목적22,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
엔티프,1202631502.0,파르페16,구움과자15,커피13,마들렌11,까눌레10,맛78,만족도73,서비스45,분위기23,목적13,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요
나우올네버,1416352432.0,커피12,마들렌6,푸딩5,파르페4,쿠키3,만족도25,맛21,서비스11,분위기6,목적1,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요
M1CT,1375741691.0,커피29,쉐이크3,아이스크림3,쿠키3,라떼3,맛34,만족도21,서비스14,분위기2,위치1,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,디저트가 맛있어요
돌담마루커피바,1030075333.0,커피19,필터커피4,쿠키3,라떼3,휘낭시에3,맛22,만족도16,서비스12,분위기3,가격1,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
merrily,1989127521.0,케이크15,타르트14,휘낭시에12,커피10,구움과자9,맛59,만족도33,서비스15,분위기11,목적5,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
르뻬떼,1213953055.0,커피8,젤리3,하이볼2,나쵸2,핫도그2,맛9,만족도7,서비스5,분위기4,위치1,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
트래피 커피,1107407387.0,커피37,라떼7,쿠키4,드립커피4,에스프레소4,맛56,만족도48,분위기15,서비스14,메뉴10,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,매장이 청결해요
피피커피,13509098.0,커피17,드립커피3,초콜릿2,핸드드립2,라떼1,맛14,만족도14,서비스3,분위기1,가격1,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요,인테리어가 멋져요
오늘의 위로,662944975.0,케이크30,타르트18,쿠키7,커피6,까눌레6,맛81,만족도31,서비스7,메뉴3,가격2,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요
프라이빗커피하우스,1401801033.0,커피26,하이볼5,스콘4,케이크3,라떼3,맛47,만족도30,서비스23,분위기21,메뉴6,커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요
카페씨멘트,37687817.0,크로플28,커피28,라떼14,치즈7,쥬스7,맛107,만족도97,서비스43,분위기42,메뉴6,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요
베베크,1555121344.0,케이크2,소금빵2,베이글2,딸기생크림케이크1,커피1,케이크2,소금빵2,베이글2,딸기생크림케이크1,커피1,,,,,
