,code,menu_1,menu_2,menu_3,menu_4,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5,menu_5
미라지커피,1000639701,크로플177,커피80,라떼13,아이스티10,맛197,만족도164,분위기82,서비스77,메뉴9,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요,플랫화이트9
지구제과,1423603783,케이크36,얼그레이22,레몬케이크18,티라미수12,맛153,만족도80,서비스51,음식량3,메뉴3,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요,스콘10
롱베케이션,1630421798,푸딩348,라떼153,커피122,말차라떼117,맛674,만족도470,분위기232,서비스84,메뉴28,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,커피가 맛있어요,친절해요,녹차73
로프스페이스 연남,1049643176,커피53,크로플9,라떼8,에이드5,만족도79,맛69,분위기30,서비스18,메뉴4,인테리어가 멋져요,커피가 맛있어요,사진이 잘 나와요,친절해요,뷰가 좋아요,드립커피4
발트 본점,1264720945,크로플109,커피42,치즈40,라떼26,맛149,만족도98,분위기48,서비스26,메뉴12,인테리어가 멋져요,디저트가 맛있어요,커피가 맛있어요,사진이 잘 나와요,친절해요,브라운치즈크로플11
베란다컵케익,572367804,컵케이크36,케이크29,커피14,얼그레이4,맛84,만족도68,분위기20,서비스7,목적5,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,아메리카노3
누크녹,1211536676,커피154,바질148,에이드114,치즈77,맛690,만족도527,분위기227,서비스222,메뉴31,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요,크림치즈71
하프베이글,1860425869,베이글102,치즈26,크림치즈23,참치23,맛113,만족도75,서비스33,메뉴11,가격4,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요,과일21
꿀넹쿠키 연남점,1074601786,쿠키478,푸딩105,약과81,커피68,맛518,만족도348,서비스91,메뉴63,목적46,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요,스콘51
아꽁뜨,1487362172,휘낭시에51,커피30,타르트15,까눌레13,맛142,만족도71,서비스28,목적14,메뉴7,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요,라떼7
위아소울메이트,1775473845,커피49,케이크37,라떼16,쿠키15,맛186,만족도160,분위기83,서비스25,메뉴22,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,친절해요,빙수14
코코시에나 티오마카세,1528111556,홍차7,다식5,밀크티3,녹차3,만족도220,맛86,서비스73,분위기30,가격9,차가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,디저트가 맛있어요,바질2
플루밍,1134813121,커피11,소금빵5,푸딩5,파르페4,맛27,만족도17,서비스8,분위기6,메뉴3,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,라떼4
오피스오브,1287313328,흑임자38,커피12,라떼11,아이스크림9,맛70,만족도48,가격6,메뉴5,분위기5,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,휘낭시에6
플렘므,1556209064,수플레101,케이크30,커피27,크로플21,맛157,만족도114,분위기37,서비스30,메뉴12,디저트가 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,팬케이크20
원모어프로포즈,1746305819,케이크15,에이드11,커피9,치즈7,맛38,만족도25,분위기7,서비스3,메뉴1,디저트가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,치즈케이크6
유니크혼,1889887611,소라80,커피32,우유11,아메리카노8,맛158,만족도120,서비스46,분위기22,목적14,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요,샐러드7
무무대베이크,1522597367,푸딩40,케이크24,휘낭시에14,아이스크림7,맛68,만족도48,서비스20,목적5,분위기4,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,매장이 청결해요,옥수수4
네시사분,1106273286,카스테라42,크로플31,라떼28,과일23,맛191,만족도125,서비스28,분위기24,가격10,디저트가 맛있어요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,커피16
스몰럭케이크,1549478324,케이크141,커피35,레터링케이크12,라떼12,맛180,만족도142,분위기43,서비스32,목적11,디저트가 맛있어요,인테리어가 멋져요,친절해요,커피가 맛있어요,음료가 맛있어요,초코케이크11
흐림,1934524936,케이크73,커피70,치즈66,치즈케이크61,맛212,만족도152,분위기88,서비스56,전망15,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요,라떼60
오랑지,1771873244,크로플66,밀크티38,커피36,푸딩21,서비스310,만족도274,맛273,분위기53,메뉴42,친절해요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,커피가 맛있어요,라떼18
브래디스커피,1977021297,소금빵29,커피17,라떼10,에이드8,만족도61,맛55,분위기29,서비스28,음식량2,인테리어가 멋져요,커피가 맛있어요,사진이 잘 나와요,디저트가 맛있어요,친절해요,크림라떼4
커피냅로스터스 연남동,1014442289,커피60,라떼18,플랫화이트6,휘낭시에5,맛78,만족도60,분위기29,서비스10,메뉴4,커피가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,음료가 맛있어요,스콘3
디 아더,1316829967,칵테일18,와인11,커피7,치즈5,만족도96,분위기71,맛37,서비스10,목적6,인테리어가 멋져요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요,사진이 잘 나와요,미숫가루2
코메아벨렘,1493254237,타르트74,에그타르트72,커피5,푸딩4,맛89,만족도36,서비스6,가격4,배달2,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,커피가 맛있어요,계란찜2
스트뉴,1579727038,커피49,치즈15,케이크14,티라미수14,만족도73,맛68,분위기27,서비스15,메뉴9,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,치즈케이크13
카페 만월회 그로서리마켓,1545596355,하이볼63,밀크티61,흑임자17,라떼15,맛227,만족도219,서비스204,메뉴67,목적56,음료가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,디저트가 맛있어요,커피13
유니드마이요거트,34308583,요거트74,그릭요거트14,아이스크림12,요거트아이스크림9,맛72,만족도68,분위기20,서비스11,목적4,인테리어가 멋져요,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,사진이 잘 나와요,베이글6
누아즈데테,1097452079,커피5,스콘5,쿠키2,에이드2,맛12,만족도11,서비스4,분위기3,전망1,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,마들렌1
이오엠,1916171533,커피23,토스트9,프렌치토스트8,에이드5,만족도40,맛34,분위기9,전망7,목적4,뷰가 좋아요,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요,라떼5
녹온,1006125529,커피30,새우19,까눌레17,토스트17,맛137,만족도117,서비스37,분위기36,메뉴14,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,샌드위치17
마들젠,1391453544,푸딩23,브라우니15,케이크14,타르트13,맛84,만족도55,서비스27,목적6,배달3,특별한 메뉴가 있어요,친절해요,빵이 맛있어요,매장이 청결해요,가성비가 좋아요,에그타르트13
앳더모먼트,1078186525,케이크64,커피28,치즈20,치즈케이크14,맛99,만족도71,서비스36,분위기24,목적5,디저트가 맛있어요,친절해요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,에이드8
서당개2년로스터스,1216509008,커피48,스콘17,라떼10,와인6,만족도105,맛73,분위기27,서비스10,메뉴3,커피가 맛있어요,뷰가 좋아요,집중하기 좋아요,음료가 맛있어요,인테리어가 멋져요,브라우니4
작은새,1265903235,,,,,만족도15,맛14,파스타3,분위기3,서비스2,특별한 메뉴가 있어요,친절해요,음식이 맛있어요,건강한 맛이에요,메뉴 구성이 알차요,
믜요,1782159268,강정5,양갱4,다식3,화과자2,만족도42,맛39,서비스16,분위기12,목적10,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,음료가 맛있어요,약과1
모리노팡,1215736940,소금빵37,식빵23,야끼소바빵17,메론빵16,맛115,만족도64,서비스8,가격6,음식량4,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요,야끼소바12
레또르떼,35251819,케이크20,커피11,타르트6,딸기케이크5,맛42,만족도40,분위기13,서비스8,가격6,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,몽블랑4
피스피스 연남점,1670095825,커피33,타르트6,애플파이5,블랙티5,맛89,만족도70,서비스27,분위기17,메뉴7,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,아메리카노3
