,code,menu_1,menu_2,menu_3,menu_4,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5,menu_5
터틀힙,38282260,케이크560,레터링케이크82,커피57,치즈29,만족도639,맛380,서비스147,분위기138,목적93,디저트가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,사진이 잘 나와요,라떼24
조앤도슨,1143889950,토스트134,프렌치토스트93,밀크티61,치즈14,맛189,만족도111,메뉴63,서비스47,분위기17,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,커피가 맛있어요,커피11
청수당공명,1910633529,커피176,수플레133,우유65,케이크37,만족도520,맛441,분위기285,가격34,서비스31,인테리어가 멋져요,디저트가 맛있어요,사진이 잘 나와요,음료가 맛있어요,커피가 맛있어요,카스테라32
펠른,1729088578,커피478,위스키78,더치커피24,마카롱10,만족도862,맛415,서비스356,분위기178,목적75,커피가 맛있어요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,드립커피9
바나나하루키,37468319,케이크113,커피20,레몬케이크15,얼그레이7,맛142,만족도83,서비스16,분위기15,메뉴6,디저트가 맛있어요,음료가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,라떼5
유키모찌 연남점,1293334743,모찌150,아이스크림113,우유72,젤라또57,맛334,만족도189,서비스36,가격19,대기시간17,디저트가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,친절해요,음식이 빨리 나와요,녹차38
오버딥,1346475243,마들렌68,커피58,라떼28,크림라떼15,만족도189,맛163,분위기82,서비스23,메뉴8,인테리어가 멋져요,디저트가 맛있어요,사진이 잘 나와요,커피가 맛있어요,컨셉이 독특해요,에이드11
오츠커피 연남,35306735,아인슈페너247,커피154,스콘42,라떼23,맛379,만족도185,서비스35,분위기34,음식량11,커피가 맛있어요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,아메리카노13
브라운하우스 연남,1020389622,커피97,케이크44,치즈39,치즈케이크35,만족도164,맛148,분위기90,서비스30,목적5,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,친절해요,대화하기 좋아요,아메리카노6
모리노코,1914086649,커피10,과일6,케이크3,아이스티2,만족도47,맛36,서비스15,분위기13,위치1,인테리어가 멋져요,친절해요,디저트가 맛있어요,사진이 잘 나와요,음료가 맛있어요,아메리카노2
파이인더샵,1166022931,커피119,케이크58,라떼51,치즈47,맛593,만족도480,분위기137,서비스63,메뉴60,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,사진이 잘 나와요,치즈케이크25
팽페르뒤,1300378937,토스트172,프렌치토스트112,커피84,라떼19,맛237,만족도150,서비스120,분위기41,메뉴4,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,아이스크림17
커피리브레 연남점,21856573,커피240,라떼54,핸드드립9,에스프레소7,맛240,만족도170,서비스32,분위기16,가격15,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,가성비가 좋아요,드립커피6
브론시스,38448458,타르트477,커피239,치즈131,크림치즈115,맛515,만족도338,분위기129,서비스52,메뉴47,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,대화하기 좋아요,과일103
Are&am,1035902301,커피27,케이크23,티라미수23,초콜릿21,맛134,만족도115,분위기32,서비스26,목적4,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,음료가 맛있어요,친절해요,라떼14
표정,1215983970,케이크324,구겔호프190,커피105,초코케이크41,맛476,만족도460,목적202,서비스108,분위기43,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요,얼그레이16
에브리데이해피벌스데이,1498252663,커피172,케이크64,토스트53,라떼52,만족도643,맛629,분위기254,서비스146,메뉴32,디저트가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,커피가 맛있어요,브라우니41
스트로베리32 연남본점,1299745145,케이크312,딸기케이크95,과일26,우유21,맛602,만족도392,서비스88,목적62,예약52,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,디저트가 맛있어요,딸기우유8
코티지블루,1612839292,파스타22,토스트20,커피16,프렌치토스트14,맛67,만족도64,분위기31,서비스22,메뉴8,인테리어가 멋져요,커피가 맛있어요,사진이 잘 나와요,디저트가 맛있어요,친절해요,치즈8
작당모의,1179910659,커피70,티라미수50,라떼28,에이드25,맛336,만족도259,분위기139,서비스60,가격24,디저트가 맛있어요,음료가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,타르트19
카페 레이어드 연남점,1500504643,스콘252,케이크140,커피84,얼그레이35,맛463,만족도341,분위기92,서비스45,메뉴36,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,사진이 잘 나와요,치즈22
로컬코드,1480017503,파스타21,라자냐20,커피11,라떼8,만족도83,맛78,분위기20,서비스17,음식량8,음식이 맛있어요,친절해요,인테리어가 멋져요,재료가 신선해요,매장이 청결해요,오일파스타8
하우에버 연남,1865456225,"카스테라1,210",커피370,라떼114,우유93,"만족도2,383","맛2,167",분위기899,서비스300,메뉴95,인테리어가 멋져요,디저트가 맛있어요,특별한 메뉴가 있어요,사진이 잘 나와요,커피가 맛있어요,아인슈페너60
마가렛 연남,1493242469,케이크117,커피107,스콘43,치즈23,맛405,만족도295,분위기76,서비스47,메뉴39,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,타르트19
치플레,1383128698,치즈372,케이크319,치즈케이크250,수플레128,"맛2,343","만족도1,886",서비스716,목적677,분위기342,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요,밀크티69
동명양과자점,1668597377,쿠키23,치즈15,푸딩10,브레드9,맛64,만족도42,서비스8,목적5,메뉴3,빵이 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,종류가 다양해요,크림치즈8
얼스어스,1775224468,케이크139,커피61,요거트43,치즈31,맛277,만족도153,분위기44,서비스39,메뉴10,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요,라떼23
서울페이스트리 연남점,37992103,도넛68,커피55,아메리카노15,우유13,맛376,만족도199,서비스42,분위기32,목적13,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,인테리어가 멋져요,녹차12
피오니 연남점,33741818,케이크192,딸기케이크97,생크림케이크35,빙수34,맛352,만족도162,서비스24,목적18,청결도7,디저트가 맛있어요,친절해요,선물하기 좋아요,특별한 메뉴가 있어요,매장이 청결해요,딸기생크림케이크21
브레디포스트 연남점,1618240240,프레즐48,커피38,샌드위치7,밀크티5,맛94,만족도90,분위기43,서비스14,메뉴11,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,치즈5
랜디스도넛 연남점,1543986977,"도넛1,554",커피117,초콜릿24,민트초코22,"맛2,680","만족도1,326",서비스241,대기시간160,메뉴77,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요,아메리카노21
코코로카라,1601437484,푸딩682,케이크182,마들렌116,치즈94,"맛1,076",만족도748,서비스155,메뉴77,분위기76,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,바나나푸딩71
잼잼,1708553019,흑임자126,커피95,라떼56,아이스크림50,맛298,만족도222,분위기80,서비스67,메뉴21,음식이 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,파스타43
일쩜오플로어,38015815,마카롱60,과일29,케이크28,뚱카롱20,맛143,만족도85,서비스22,가격11,목적9,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요,커피10
꽈페 연남본점,1794136920,꽈배기468,치즈45,티라미수41,커피39,맛864,만족도594,서비스202,목적98,메뉴82,특별한 메뉴가 있어요,빵이 맛있어요,디저트가 맛있어요,친절해요,매장이 청결해요,도넛34
카페드댕,1653541790,커피91,휘낭시에29,치즈12,애플시나몬11,맛191,만족도155,분위기84,서비스31,메뉴27,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,매장이 청결해요,라떼10
카페클로이인패리스,1071356852,케이크235,커피148,라떼77,크로플74,맛779,만족도694,분위기484,서비스108,메뉴52,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,커피가 맛있어요,사진이 잘 나와요,생크림케이크58
티크닉,1750433763,스콘198,밀크티50,아이스티14,쿠키12,맛261,만족도175,서비스66,메뉴55,분위기38,디저트가 맛있어요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,커피10
