,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
로우키 연희점,커피29,드립커피3,라떼3,핸드드립1,애플크럼블1,만족도29,맛26,서비스9,분위기7,주차2,커피가 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요,대화하기 좋아요
파츄코 파라다이스,커피4,샌드위치1,파스타1,초코라떼1,라떼1,맛6,만족도5,분위기2,서비스1,목적1,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요
콜드레시피,아이스크림28,젤라또15,얼그레이13,초콜릿5,바질3,맛90,만족도40,서비스10,위치1,가격1,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,재료가 신선해요
모와림,타르트9,옥수수4,몽블랑3,커피3,바질2,맛29,만족도23,분위기6,서비스3,메뉴1,디저트가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요
뺑드에떼,소금빵6,치즈6,식빵5,커피4,바게트3,맛37,만족도19,가격5,메뉴3,목적2,빵이 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,재료가 신선해요
시도 플레이스,커피269,라떼37,스콘31,얼그레이22,호떡19,만족도452,맛422,분위기208,서비스137,메뉴11,인테리어가 멋져요,커피가 맛있어요,친절해요,매장이 청결해요,사진이 잘 나와요
까사드선주,크로와상10,뺑오쇼콜라7,소금빵6,시나몬롤4,치아바타3,맛62,만족도37,서비스19,가격4,목적4,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
스타벅스 연희동점,커피37,라떼19,케이크8,아메리카노8,초콜릿5,만족도378,맛141,서비스103,분위기27,청결도7,커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요,디저트가 맛있어요
본솔커피 연희점,커피75,크로플56,라떼29,아이스크림25,케이크11,맛167,만족도138,분위기56,서비스48,가격28,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,가성비가 좋아요
카페 브라마솔레,커피15,와인5,토스트4,프렌치토스트2,샌드위치1,맛23,만족도22,분위기12,서비스5,메뉴3,친절해요,인테리어가 멋져요,음식이 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요
니도 로스터리 연희,커피27,드립커피2,라떼2,와인2,바질1,맛26,만족도20,분위기14,서비스8,목적2,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,매장이 청결해요
버드스틱,케이크17,치즈케이크1,치즈1,과일1,,케이크17,치즈케이크1,치즈1,과일1,맛23,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
마이디어스윗,스콘14,케이크3,커피3,당근케이크2,토스트2,맛39,만족도22,분위기3,청결도2,목적1,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요
비피엠 파이엔타르트,타르트26,커피15,치즈5,과일5,수제파이4,맛52,만족도41,서비스20,가격11,분위기10,디저트가 맛있어요,친절해요,인테리어가 멋져요,가성비가 좋아요,커피가 맛있어요
금양식방,식빵16,스콘13,케이크6,치즈4,젤리3,맛28,만족도24,가격7,서비스4,목적1,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
초콜릿책방,초콜릿7,커피6,핫초코2,수제초콜릿2,라떼2,맛18,만족도12,분위기8,서비스8,목적2,친절해요,집중하기 좋아요,특별한 메뉴가 있어요,커피가 맛있어요,읽을만한 책이 많아요
빵쌤 연희점,커피29,소금빵15,고구마빵7,치즈5,샐러드5,맛127,만족도102,서비스27,분위기11,메뉴10,빵이 맛있어요,매장이 청결해요,커피가 맛있어요,친절해요,대화하기 좋아요
다파올로,젤라또28,커피17,아이스크림5,브리오슈3,헤이즐넛3,맛30,만족도14,분위기5,서비스3,목적1,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요,친절해요
베리굳베이글 연희점,베이글40,치즈7,크림치즈4,샌드위치4,커피2,맛46,만족도21,서비스7,위치2,분위기1,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,매장이 청결해요,가성비가 좋아요
벨르아티,,,,,,밀크티6,메뉴6,맛6,만족도5,서비스4,,,,,
에스페란자 로스터즈 연희점,커피18,라떼3,아메리카노2,드립커피1,카푸치노1,맛19,만족도17,서비스8,분위기3,가격1,커피가 맛있어요,친절해요,음료가 맛있어요,아늑해요,인테리어가 멋져요
퍼스트바이쓰리,커피11,에이드2,솜사탕1,라떼1,레몬마들렌1,맛13,만족도9,분위기3,서비스2,주차1,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,사진이 잘 나와요
디싸이시브모먼트,커피47,쿠키5,드립커피4,케이크2,치즈2,맛57,만족도54,분위기22,서비스18,전망6,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,대화하기 좋아요
제니스커피하우스,커피6,스콘1,녹차1,녹차라떼1,라떼1,만족도13,맛12,분위기7,위치2,서비스1,커피가 맛있어요,인테리어가 멋져요,대화하기 좋아요,음료가 맛있어요,친절해요
잘루,커피15,푸딩8,바나나푸딩7,라떼6,밀크티4,맛27,만족도25,분위기18,서비스9,메뉴4,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음료가 맛있어요
투어스비긴,,,,,,위치5,가격4,편의・부대시설3,시설물관리2,서비스2,집중하기 좋아요,인테리어가 멋져요,좌석이 편해요,차분한 분위기에요,분위기 관리가 철저해요
래핑폭스,샌드위치26,커피18,파니니13,라떼12,크로플8,만족도75,맛72,서비스23,분위기17,메뉴10,음식이 맛있어요,친절해요,인테리어가 멋져요,재료가 신선해요,특별한 메뉴가 있어요
리버럴커피스탠드,커피22,라떼4,아메리카노4,드립백2,바닐라라떼2,맛28,만족도17,서비스5,분위기4,목적1,커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요,특별한 메뉴가 있어요
배스킨라빈스 연희사러가점,아이스크림46,케이크5,커피4,치즈2,모찌2,만족도220,맛110,서비스58,청결도8,대기시간6,디저트가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요,특별한 메뉴가 있어요
올드프렌드,커피26,라떼11,플랫화이트5,바닐라라떼1,에스프레소1,맛36,만족도18,서비스13,분위기9,메뉴1,커피가 맛있어요,친절해요,매장이 청결해요,인테리어가 멋져요,음료가 맛있어요
투썸플레이스 서대문연희점,커피3,케이크3,뱅쇼1,라떼1,딸기우유1,만족도20,맛10,서비스4,예약1,위치1,커피가 맛있어요,디저트가 맛있어요,매장이 청결해요,집중하기 좋아요,인테리어가 멋져요
피카니피카노,스콘42,피칸파이18,타르트13,에그타르트9,도넛8,맛98,만족도46,서비스19,목적6,메뉴4,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
이디야커피 연남동점,커피18,라떼13,아메리카노8,토피넛라떼5,디카페인아메리카노3,만족도75,맛39,서비스19,분위기8,가격3,커피가 맛있어요,음료가 맛있어요,친절해요,가성비가 좋아요,대화하기 좋아요
이공커피 연희점,커피72,아메리카노5,라떼4,수박주스3,에이드2,만족도108,맛103,서비스31,가격16,메뉴7,커피가 맛있어요,가성비가 좋아요,음료가 맛있어요,친절해요,매장이 청결해요
빙달 연희점,빙수9,초코케이크1,티라미수1,눈꽃빙수1,요거트1,맛16,서비스10,만족도8,음식량6,위치1,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,양이 많아요
니드모어커피,커피27,라떼11,케이크7,아메리카노5,우유3,맛40,만족도28,분위기7,서비스6,메뉴2,커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요,매장이 청결해요
에쉬본,,,,,,,,,,,,,,,
바벨의 도서관,,,,,,방역1,위치1,,,,집중하기 좋아요,좌석이 편해요,컨셉이 독특해요,가성비가 좋아요,매장이 청결해요
이디야커피 연희홍연길점,,,,,,만족도3,커피1,서비스1,맛1,,,,,,
연남장,커피20,파스타11,바질8,라자냐7,치즈7,만족도171,맛157,분위기72,서비스16,메뉴15,인테리어가 멋져요,매장이 넓어요,음식이 맛있어요,매장이 청결해요,친절해요
마켓까눌레,,,,,,까눌레1,만족도1,,,,,,,,
미미에토,커피5,크로플2,라떼1,홍차1,홍차라떼1,만족도10,맛6,서비스5,분위기4,위치1,커피가 맛있어요,친절해요,주차하기 편해요,사진이 잘 나와요,매장이 청결해요
성북당 십원빵 연세대점,옥수수3,치즈3,커피2,라떼1,피자1,옥수수3,치즈3,커피2,라떼1,피자1,디저트가 맛있어요,친절해요,커피가 맛있어요,음료가 맛있어요,매장이 청결해요
스케네 연희점,커피8,샌드위치3,라떼2,오미자에이드1,에이드1,커피8,샌드위치3,라떼2,오미자에이드1,에이드1,커피가 맛있어요,매장이 청결해요,친절해요,좌석이 편해요,인테리어가 멋져요
쥬씨 연희점,수박주스6,과일3,쥬스3,도시락2,파인애플주스1,맛22,만족도16,서비스6,가격4,음식량1,음료가 맛있어요,가성비가 좋아요,재료가 신선해요,친절해요,특별한 메뉴가 있어요
WP커피,쿠키26,커피14,자몽차1,초코케이크1,수제쿠키1,만족도31,맛26,서비스10,주차5,분위기4,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요,친절해요
파리바게뜨 연희안산점,커피7,샐러드7,식빵6,바게트6,케이크4,만족도135,맛64,서비스64,메뉴8,분위기3,빵이 맛있어요,친절해요,매장이 청결해요,가성비가 좋아요,커피가 맛있어요
연희문화살롱,새우3,떡볶이3,감바스3,새우감바스3,와인3,만족도11,맛6,서비스4,분위기2,메뉴1,인테리어가 멋져요,대화하기 좋아요,친절해요,매장이 청결해요,뷰가 좋아요
카페인더포레스트,커피3,청포도에이드1,에이드1,,,커피3,청포도에이드1,에이드1,만족도3,분위기2,,,,,
파도바,,,,,,,,,,,,,,,
쏘잉구떼 양과점,,,,,,푸딩1,브레드1,맛1,만족도1,,,,,,
아이스프링카페,커피8,스무디4,치아바타3,라떼2,아메리카노2,만족도28,맛15,분위기5,서비스5,가격4,커피가 맛있어요,가성비가 좋아요,친절해요,대화하기 좋아요,음료가 맛있어요
오몽듀,마카롱10,쿠키5,푸딩2,커피2,르뱅쿠키2,맛17,만족도11,서비스7,목적4,분위기2,친절해요,특별한 메뉴가 있어요,빵이 맛있어요,매장이 청결해요,커피가 맛있어요
빽다방 연희삼거리점,아메리카노3,커피2,미숫가루2,라떼2,우유1,만족도18,서비스15,맛12,분위기1,메뉴1,커피가 맛있어요,가성비가 좋아요,음료가 맛있어요,친절해요,디저트가 맛있어요
팔레트샐러드 연희점,샐러드78,연어20,고기17,커피13,바질9,맛135,만족도96,음식량32,서비스26,분위기20,음식이 맛있어요,재료가 신선해요,친절해요,양이 많아요,인테리어가 멋져요
에쏘하우스,커피80,라떼15,바닐라라떼9,아이스크림8,비엔나커피3,맛90,만족도54,서비스16,메뉴9,청결도1,커피가 맛있어요,친절해요,음료가 맛있어요,가성비가 좋아요,매장이 청결해요
황금찹쌀꽈배기 연희점,꽈배기5,소떡소떡2,호두과자1,핫도그1,도넛1,꽈배기5,소떡소떡2,호두과자1,핫도그1,도넛1,빵이 맛있어요,가성비가 좋아요,친절해요,특별한 메뉴가 있어요,뷰가 좋아요
연희롱블랙,,,,,,맛3,커피2,만족도2,아메리카노1,,커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,음식이 빨리 나와요,친절해요
이디야커피 서대문구청점,커피9,라떼6,치즈2,흑임자2,토피넛라떼2,만족도75,맛46,서비스17,청결도3,분위기2,커피가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요,가성비가 좋아요
무무인서울,,,,,,만족도2,목적2,슈톨렌1,맛1,서비스1,,,,,
허니도우연희점,도넛3,우유1,얼그레이1,,,도넛3,우유1,얼그레이1,맛4,만족도4,,,,,
로덴드론 연희3호점,커피4,케이크2,파스타2,아인슈페너1,아메리카노1,만족도18,맛14,서비스4,음식량2,주차1,매장이 넓어요,음식이 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
푸어린,커피5,토스트2,라떼1,팬케이크1,케이크1,커피5,토스트2,라떼1,팬케이크1,케이크1,,,,,
노란손수건커피 본점,라떼2,녹차라떼2,녹차2,커피1,,라떼2,녹차라떼2,녹차2,커피1,만족도6,,,,,
리치웰 서대문자연사점,커피8,샌드위치4,아이스크림1,수박주스1,젤리1,만족도88,맛16,서비스9,가격5,위치3,친절해요,커피가 맛있어요,매장이 청결해요,음료가 맛있어요,가성비가 좋아요
IGWA,,,,,,맛1,,,,,,,,,
fitness H,,,,,,서비스5,혼잡도2,가격2,즐길거리2,편의・부대시설2,,,,,
LUMOS cake,,,,,,,,,,,,,,,
카페그레이스,커피15,자몽주스1,쥬스1,머랭쿠키1,망고주스1,만족도19,맛15,분위기5,가격2,서비스2,커피가 맛있어요,가성비가 좋아요,음료가 맛있어요,친절해요,뷰가 좋아요
다이어트랩 연희점,,,,,,,,,,,,,,,
스타싸인,크로플366,커피195,케이크117,라떼89,빙수49,맛812,만족도506,분위기180,서비스166,메뉴59,디저트가 맛있어요,음료가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요
브레디포스트 연남점,프레즐46,커피37,샌드위치7,밀크티5,치즈5,맛90,만족도84,분위기41,서비스15,메뉴10,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,사진이 잘 나와요
커피 벌스데이,케이크135,커피79,라떼27,레몬케이크18,얼그레이16,맛224,만족도186,분위기60,서비스44,메뉴25,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
팽페르뒤,토스트152,프렌치토스트97,커피71,커스터드17,아이스크림15,맛201,만족도126,서비스107,분위기38,가격3,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
으믐,커피20,아이스크림6,아메리카노3,타르트3,우유1,만족도25,맛21,분위기5,서비스5,목적2,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요
카페 공명 연남점,스콘249,커피167,라떼73,우유49,밀크티39,맛625,만족도475,분위기170,메뉴67,서비스64,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
라헬의부엌 홍대점,수플레349,케이크105,팬케이크83,수플레팬케이크51,아이스크림45,맛552,만족도350,분위기100,서비스64,메뉴45,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요
아오이토리,야끼소바빵202,메론빵165,야끼소바138,바게트67,새우67,맛804,만족도449,서비스71,가격49,메뉴32,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,매장이 청결해요
PITC,커피69,케이크13,치즈12,치즈케이크11,아이스크림10,만족도167,맛138,분위기76,서비스15,메뉴10,인테리어가 멋져요,디저트가 맛있어요,사진이 잘 나와요,커피가 맛있어요,특별한 메뉴가 있어요
바나나하루키,케이크113,커피20,레몬케이크15,얼그레이7,라떼5,맛142,만족도83,서비스16,분위기15,메뉴6,디저트가 맛있어요,음료가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요
고요베이크샵,소금빵156,치즈139,쿠키126,케이크121,스콘101,맛639,만족도434,서비스106,분위기52,가격21,디저트가 맛있어요,친절해요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요
마크스로프트,커피39,타르트25,케이크12,라떼8,소금빵8,맛101,만족도80,분위기38,서비스11,메뉴7,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
스트로베리32 연남본점,케이크312,딸기케이크95,과일26,우유21,딸기우유8,맛596,만족도391,서비스88,목적62,예약52,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,디저트가 맛있어요
베베베 신촌점,베이글41,커피10,치즈9,크림치즈8,프레즐5,맛67,만족도58,서비스9,분위기9,메뉴7,빵이 맛있어요,사진이 잘 나와요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요
슈크렌느,커피14,과일8,바질8,애플파이7,홍차7,맛82,만족도63,서비스29,분위기19,음식량6,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요
943 킹스크로스CAFE,맥주49,커피46,케이크39,스무디26,에이드20,만족도857,맛308,분위기267,가격87,서비스79,인테리어가 멋져요,특별한 메뉴가 있어요,사진이 잘 나와요,음료가 맛있어요,커피가 맛있어요
일쩜오플로어,마카롱60,과일29,케이크28,뚱카롱20,커피10,맛144,만족도85,서비스22,가격11,목적9,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요
철부지붕어빠,커피5,붕어1,아메리카노1,에스프레소1,슈크림빵1,맛20,서비스12,만족도11,분위기3,대기시간1,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,가성비가 좋아요
하우에버 연남,"카스테라1,207",커피369,라떼114,우유93,아인슈페너60,"만족도2,376","맛2,160",분위기895,서비스298,메뉴94,인테리어가 멋져요,디저트가 맛있어요,특별한 메뉴가 있어요,사진이 잘 나와요,커피가 맛있어요
표정,케이크323,구겔호프190,커피105,초코케이크41,얼그레이16,맛472,만족도456,목적200,서비스108,분위기43,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
츄로101 홍대본점,츄러스132,아이스크림27,치즈11,크림치즈11,커피5,맛291,만족도108,서비스22,대기시간9,가격6,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,커피가 맛있어요
앤티크커피 연남점,커피838,크로와상241,스콘195,라떼157,케이크138,"맛1,416","만족도1,091",분위기324,서비스202,메뉴139,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요
오퍼 카페,커피468,소금빵197,라떼195,에이드65,치즈59,"맛1,164","만족도1,020",분위기463,메뉴157,서비스135,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,매장이 청결해요
서울페이스트리 연남점,도넛65,커피50,아메리카노15,우유13,녹차12,맛351,만족도176,서비스36,분위기24,목적12,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,인테리어가 멋져요
르바게트 메종,바게트38,치즈10,크림치즈8,커피7,소금빵5,맛44,만족도31,분위기8,서비스7,메뉴5,빵이 맛있어요,인테리어가 멋져요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요
카페 레이어드 연남점,스콘252,케이크139,커피83,얼그레이35,치즈22,맛461,만족도340,분위기92,서비스44,메뉴36,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,사진이 잘 나와요
그루밍커피,스콘16,커피15,케이크11,라떼3,얼그레이3,맛34,만족도21,서비스11,분위기6,예약2,디저트가 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요
펠른,커피478,위스키78,더치커피24,마카롱10,드립커피9,만족도862,맛415,서비스356,분위기178,목적75,커피가 맛있어요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요
청수당공명,커피176,수플레133,우유65,케이크37,카스테라32,만족도518,맛441,분위기285,가격33,서비스31,인테리어가 멋져요,디저트가 맛있어요,사진이 잘 나와요,음료가 맛있어요,커피가 맛있어요
