,code,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
한남 상석,1536033775.0,딱새우회29,라면26,하이볼20,꽃게탕16,명란14,맛187,만족도153,분위기71,서비스56,목적14,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요
오지힐,1959653413.0,케이크71,커피66,라떼13,얼그레이11,레몬파운드9,맛257,만족도205,분위기78,서비스48,메뉴30,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
AVEK CHERI,1250468705.0,소금빵59,커피39,쿠키11,샌드위치7,라떼4,맛80,만족도66,분위기14,서비스12,목적7,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
타르틴 베이커리 한남점,1222345286.0,커피44,타르트39,샌드위치22,케이크14,브레드10,맛193,만족도132,분위기26,가격20,서비스14,빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요,친절해요
그랜드하얏트서울 갤러리,37336922.0,커피80,빙수42,망고빙수26,아이스크림22,과일22,만족도832,맛411,서비스291,분위기209,가격52,뷰가 좋아요,디저트가 맛있어요,친절해요,인테리어가 멋져요,커피가 맛있어요
블루보틀 한남 카페,1938586291.0,커피232,라떼115,아이스크림46,아메리카노21,우유11,맛384,만족도303,서비스160,분위기42,음식량16,커피가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요,인테리어가 멋져요
프렌떼 한남,1226510600.0,커피29,바게트11,소금빵11,케이크5,치즈5,맛90,만족도56,분위기17,서비스15,메뉴4,빵이 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
웻커피 한남,1621465172.0,커피65,도넛32,아메리카노6,라떼4,밀크티4,맛103,만족도76,분위기23,서비스16,메뉴7,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요
히트커피로스터스 한남,1448128547.0,커피90,푸딩48,라떼17,케이크14,딸기케이크13,맛135,만족도87,서비스40,분위기29,메뉴7,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
베베베 한남점,1745179227.0,베이글324,치즈92,크림치즈72,커피45,샌드위치34,맛347,만족도232,서비스71,분위기58,가격15,빵이 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요
오아시스 한남점,1110133208.0,토스트43,에그베네딕트41,프렌치토스트32,커피32,샐러드27,맛326,만족도207,분위기56,서비스51,가격39,음식이 맛있어요,재료가 신선해요,인테리어가 멋져요,매장이 청결해요,친절해요
레종데트르 한남,1718170443.0,케이크20,커피19,오리15,까눌레5,타르트4,맛99,만족도79,서비스29,분위기8,목적5,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
산수화티하우스,35965160.0,마들렌1,다식1,녹차1,,,마들렌1,다식1,녹차1,만족도37,서비스12,차가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,대화하기 좋아요
릴리언,1089811009.0,커피22,샌드위치14,파니니9,치아바타8,바게트5,맛68,만족도53,서비스24,분위기10,메뉴2,빵이 맛있어요,친절해요,커피가 맛있어요,인테리어가 멋져요,뷰가 좋아요
수르기,37357488.0,커피11,아메리카노4,에끌레어3,카푸치노2,케이크2,맛43,만족도27,서비스10,분위기10,메뉴1,디저트가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요,친절해요
아키비스트 한남,1491093504.0,커피52,아인슈페너45,케이크10,휘낭시에7,레몬케이크7,맛100,만족도58,서비스15,분위기15,주차6,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
콘디토리 오븐,1151512048.0,까눌레6,쿠키5,마들렌3,구움과자2,피칸파이2,만족도40,목적23,맛20,서비스8,가격5,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,매장이 청결해요
허니비 서울,1429090005.0,커피7,젤라또6,케이크5,몽블랑2,밀푀유2,맛45,만족도30,서비스7,가격4,청결도2,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
베베르카,1458057356.0,파스타5,프렌치토스트5,토스트5,에그베네딕트3,갈레트3,맛25,만족도24,서비스7,분위기7,메뉴3,음식이 맛있어요,인테리어가 멋져요,재료가 신선해요,특별한 메뉴가 있어요,친절해요
크레이트커피,1802962451.0,커피60,라떼16,플랫화이트8,브라우니4,바닐라라떼4,맛94,만족도79,분위기35,서비스12,메뉴7,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,매장이 청결해요,친절해요
아우프글렛 한남,1416109994.0,크로플27,커피11,아이스크림11,까눌레4,플랫화이트2,맛37,만족도24,분위기5,서비스4,청결도1,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,사진이 잘 나와요
한남라메종,1121122923.0,커피42,타르트18,케이크18,레몬타르트10,얼그레이4,맛114,만족도96,분위기33,서비스25,메뉴8,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
팥알로,1446588781.0,빙수12,휘낭시에9,치즈케이크7,치즈7,케이크7,맛44,만족도26,목적14,서비스8,가격3,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요
카라멜리에오,1831692535.0,파르페44,커피23,아이스크림14,푸딩13,타르트10,맛90,만족도74,서비스33,예약15,가격11,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,매장이 청결해요,사진이 잘 나와요
로우커피,727127299.0,커피45,크로플19,밀크티14,라떼10,케이크3,맛91,만족도48,메뉴19,분위기18,서비스13,커피가 맛있어요,음료가 맛있어요,대화하기 좋아요,인테리어가 멋져요,디저트가 맛있어요
아이스크림 소사이어티,1760264926.0,아이스크림49,젤라또18,얼그레이15,케이크13,쿠키5,맛116,만족도68,가격13,서비스12,청결도3,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
북파크라운지,1174718905.0,커피28,라떼3,아인슈페너1,초코라떼1,아메리카노1,만족도231,분위기45,맛37,목적16,서비스15,집중하기 좋아요,좌석이 편해요,읽을만한 책이 많아요,인테리어가 멋져요,친절해요
아우어베이커리 한남나인원점,1812695987.0,빨미까레65,커피45,까눌레18,밀크티8,앙버터8,맛319,만족도156,서비스29,분위기15,메뉴12,빵이 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요
배스킨라빈스 하이브한남점,1195389026.0,아이스크림46,도넛18,커피17,유기농아이스크림9,와플7,만족도212,맛108,서비스40,분위기37,메뉴10,특별한 메뉴가 있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,친절해요
테라로사 한남점,1477226533.0,커피122,라떼10,피칸파이8,케이크7,핸드드립6,만족도172,맛160,분위기47,서비스14,주차5,커피가 맛있어요,인테리어가 멋져요,대화하기 좋아요,매장이 청결해요,음료가 맛있어요
Summer Lane,733920762.0,토스트48,프렌치토스트43,에그베네딕트42,커피34,연어33,맛348,만족도230,서비스63,분위기39,대기시간38,음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요
폴바셋 한남 커피스테이션점,37769824.0,라떼140,커피131,아이스크림107,아이스크림라떼28,우유20,맛459,만족도377,서비스109,분위기33,주차12,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
뚜띠한남,1527903338.0,커피33,케이크18,타르트5,플랫화이트4,파운드케이크4,맛59,만족도42,서비스25,분위기13,메뉴8,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
맥코이 한남,1552067110.0,커피113,라떼12,티라미수11,딸기티라미수4,플랫화이트4,맛131,만족도84,분위기27,서비스12,메뉴7,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요
에이프릴커피,1376771078.0,커피34,필터커피5,라떼4,휘낭시에3,에스프레소2,만족도28,맛23,분위기12,가격8,서비스3,커피가 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요,좌석이 편해요
오라라,1178102812.0,커피31,와인9,케이크5,에이드4,아메리카노4,만족도63,맛60,분위기47,서비스10,메뉴5,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,디저트가 맛있어요,친절해요
베지위켄드,1587148898.0,커피3,샐러드1,튀김1,파스타1,옥수수1,만족도9,맛9,서비스3,메뉴3,분위기1,특별한 메뉴가 있어요,음식이 맛있어요,친절해요,매장이 청결해요,재료가 신선해요
컨큐어 한남,1017448283.0,티라미수123,커피93,딸기티라미수34,라떼29,아인슈페너15,맛234,만족도165,분위기85,서비스54,메뉴9,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
케르반베이커리&카페,1021898114.0,홍차58,쿠키35,커피26,터키쉬딜라이트13,아이스크림12,맛346,만족도180,서비스98,메뉴18,분위기11,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요
% 아라비카 매거진 B 한남점,1978147429.0,커피68,라떼56,말차라떼5,우유4,카페라떼3,맛96,만족도52,분위기12,서비스9,가격4,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,매장이 청결해요
라페름,37160963.0,샐러드46,리조또27,치킨25,스테이크18,파니니13,맛200,만족도146,서비스43,분위기38,음식량25,음식이 맛있어요,재료가 신선해요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요
르몽생미셸르카페,1905748549.0,커피6,라떼4,쿠키2,바닐라라떼1,케이크1,커피6,라떼4,쿠키2,바닐라라떼1,케이크1,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,특별한 메뉴가 있어요
윤 티하우스,1188810643.0,커피13,라떼4,까눌레4,아인슈페너3,치즈2,만족도83,맛72,서비스29,분위기28,메뉴11,음료가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요
33apartment,424208738.0,커피35,라떼7,아메리카노2,쿠키2,카페라떼1,맛39,만족도21,서비스10,청결도1,메뉴1,커피가 맛있어요,친절해요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요
라이비 케이크아웃,1696748262.0,,,,,,만족도3,서비스3,케이크2,맛2,,친절해요,디저트가 맛있어요,선물하기 좋아요,인테리어가 멋져요,특별한 메뉴가 있어요
아틀리에폰드 한남,1952494114.0,쿠키4,위스키2,초콜릿1,와인1,케이크1,맛7,만족도7,목적6,예약2,메뉴1,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,매장이 청결해요,빵이 맛있어요
살리르,1007633030.0,아이스크림39,와인24,위스키2,수제아이스크림2,초콜릿2,만족도36,맛24,서비스12,분위기7,메뉴3,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,대화하기 좋아요
카페 베르나르도,1150211577.0,커피7,마카롱3,라떼2,루이보스1,카푸치노1,만족도18,맛16,서비스10,분위기6,목적3,인테리어가 멋져요,매장이 청결해요,특별한 메뉴가 있어요,친절해요,음식이 맛있어요
포겟미낫스위츠,1503564190.0,치즈16,케이크14,치즈케이크13,커피11,라떼7,맛41,만족도37,서비스20,분위기17,목적3,디저트가 맛있어요,인테리어가 멋져요,친절해요,커피가 맛있어요,음료가 맛있어요
오베뉴한남,1127705304.0,커피20,칵테일3,드립커피3,시나몬롤3,브레드2,만족도32,맛27,분위기15,서비스7,메뉴1,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,사진이 잘 나와요,매장이 청결해요
어텐디 한남,1871323055.0,커피4,케이크3,바질1,파인애플샤베트1,녹차1,맛19,만족도11,음식량2,메뉴1,서비스1,친절해요,음료가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,가성비가 좋아요
LTP 한남,1510972643.0,커피8,파스타7,바게트4,샌드위치3,토스트3,맛43,만족도38,분위기17,서비스7,메뉴4,음식이 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,매장이 청결해요
스타벅스 순천향입구점,32408413.0,커피121,라떼32,아메리카노14,요거트7,블랙티6,만족도509,맛208,서비스136,분위기14,위치11,커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요,디저트가 맛있어요
노티드 한남PVCS,1131965286.0,,,,,,맛5,도넛3,서비스1,메뉴1,만족도1,,,,,
패션5 테라스,1959942054.0,빙수4,커피3,샌드위치2,푸딩1,베이글1,맛18,만족도13,분위기5,서비스3,메뉴1,음식이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요
클럽하우스서울,1222059761.0,커피16,맥주4,라떼4,도넛4,케이크3,만족도35,맛31,분위기20,서비스11,메뉴3,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,친절해요
로얄멜팅클럽,1129772162.0,케이크54,컵케이크52,커피19,쿠키5,아메리카노4,만족도118,맛79,분위기32,서비스27,목적16,디저트가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,특별한 메뉴가 있어요,친절해요
바다까까,1095495484.0,케이크34,치즈22,치즈케이크17,쿠키4,아메리카노3,맛52,만족도25,서비스13,가격4,분위기3,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
아스티에드빌라트카페,1267358648.0,커피21,아메리카노2,파운드케이크1,케이크1,라떼1,만족도27,분위기12,가격12,맛10,전망4,인테리어가 멋져요,뷰가 좋아요,사진이 잘 나와요,커피가 맛있어요,친절해요
오설록티하우스 한남점,1242008956.0,녹차24,칵테일19,커피15,라떼9,케이크9,만족도107,맛70,분위기41,서비스16,메뉴8,차가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요
겟썸커피 Hannam,1503040275.0,커피23,스콘13,라떼5,아메리카노4,아이스크림3,맛29,만족도24,분위기8,서비스5,가격4,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요
앤더슨씨 나인원점,1119648366.0,샌드위치29,깍두기볶음밥24,볶음밥24,깍두기23,파스타22,맛136,만족도101,서비스39,분위기29,음식량9,음식이 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요,재료가 신선해요
생텀,1026191970.0,,,,,,만족도5,커피2,맛2,분위기2,음식량1,인테리어가 멋져요,커피가 맛있어요,친절해요,사진이 잘 나와요,대화하기 좋아요
팬케익 오리지널 스토리,19882545.0,케이크26,팬케이크25,커피12,오믈렛9,토스트9,맛109,만족도74,음식량22,서비스15,가격7,음식이 맛있어요,양이 많아요,친절해요,특별한 메뉴가 있어요,재료가 신선해요
파티세리 폰드 한남,1318826308.0,마들렌3,아이스크림2,커피2,휘낭시에2,케이크1,만족도9,맛6,목적4,주차1,위치1,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,매장이 청결해요
파리바게뜨 한남점,11690056.0,샐러드24,바게트21,샌드위치17,커피13,케이크11,만족도280,맛198,서비스111,메뉴35,청결도10,빵이 맛있어요,친절해요,매장이 청결해요,커피가 맛있어요,가성비가 좋아요
피어커피 바,1238423329.0,커피26,에스프레소21,라떼4,얼그레이3,아메리카노3,맛40,만족도29,서비스17,분위기5,주차2,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,음료가 맛있어요
세르클 한남 본점,1654360173.0,커피75,계란빵23,파스타20,아이스크림19,케이크18,만족도269,맛258,분위기122,서비스47,메뉴16,인테리어가 멋져요,특별한 메뉴가 있어요,디저트가 맛있어요,커피가 맛있어요,친절해요
라운지 한남,1702355294.0,커피41,라떼21,애플시나몬6,아메리카노6,시나몬라떼5,맛64,만족도51,서비스32,분위기9,메뉴5,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,대화하기 좋아요
차요,1093337449.0,요거트32,바질13,그릭요거트10,와인8,커피2,맛43,만족도40,서비스16,메뉴6,가격1,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
Take c,37196490.0,커피58,미숫가루7,아이스크림5,마카롱3,우유2,맛83,만족도56,서비스17,분위기8,메뉴4,커피가 맛있어요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
보마켓 남산점,924771485.0,와인5,떡볶이2,샐러드1,커피1,,와인5,떡볶이2,샐러드1,커피1,만족도5,,,,,
브라운즈,1083291951.0,,,,,,서비스38,예약13,만족도6,즐길거리5,주차3,친절해요,인테리어가 멋져요,매장이 청결해요,음료가 맛있어요,사진이 잘 나와요
테이크 블랭크,1414713670.0,커피14,와인5,아메리카노2,쿠키2,머랭쿠키2,만족도38,맛34,분위기21,서비스11,메뉴2,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,야외 공간이 멋져요,친절해요
유포리아커피로스터스,1990415920.0,커피39,라떼4,크로플2,쥬스1,롱블랙1,맛46,만족도31,서비스14,분위기7,가격3,커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요
콜렉티보 한남점,1885434615.0,커피36,까눌레29,케이크15,라떼12,스콘9,맛111,만족도68,분위기24,서비스15,메뉴6,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
리아 한남,1659187254.0,애플시나몬2,요거트1,블루베리요거트1,,,애플시나몬2,요거트1,블루베리요거트1,만족도4,맛2,,,,,
데드비트클럽,1604303401.0,커피24,케이크4,샌드위치4,치즈3,라떼3,만족도39,맛29,분위기12,서비스5,메뉴4,커피가 맛있어요,대화하기 좋아요,인테리어가 멋져요,친절해요,매장이 청결해요
모어딥,1220648111.0,커피22,도넛14,핸드드립3,드립커피3,라떼2,맛22,만족도16,서비스7,분위기4,전망4,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,뷰가 좋아요
루트에브리데이 한남점,37800735.0,샐러드33,연어17,토스트5,치즈4,샌드위치4,맛119,만족도77,서비스17,음식량11,가격8,음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,혼밥하기 좋아요,친절해요
인덱스카라멜 한남,1313508436.0,,,,,,만족도15,목적13,서비스8,맛7,분위기5,디저트가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,특별한 메뉴가 있어요
espresso core,32745044.0,커피28,플랫화이트5,라떼4,롱블랙3,에스프레소2,커피28,플랫화이트5,라떼4,롱블랙3,에스프레소2,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,매장이 청결해요
목단가옥,1823105646.0,,,,,,편의・부대시설8,가격6,주차1,혼잡도1,위치1,인테리어가 멋져요,컨셉이 독특해요,커피가 맛있어요,대화하기 좋아요,사진이 잘 나와요
요커 한남순천향점,1117238314.0,커피10,요거트6,라떼6,쿠키2,크림라떼2,만족도55,맛25,서비스8,가격4,분위기2,친절해요,커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,가성비가 좋아요
리메이크 캐러멜,1542287249.0,,,,,,맛7,만족도5,목적4,서비스1,가격1,,,,,
히어로도넛 한남점,1931677626.0,도넛47,커피12,약과6,스콘6,드립커피4,맛39,만족도27,서비스17,위치1,분위기1,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요
Talk About Donut,1272405366.0,도넛37,크림브륄레4,치즈4,아이스크림4,커피1,맛44,만족도37,서비스5,목적4,메뉴3,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,매장이 청결해요
MSMR,1656958791.0,커피36,스콘15,라떼8,아인슈페너5,크림라떼5,맛56,만족도45,분위기25,서비스11,목적4,커피가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,디저트가 맛있어요,친절해요
커피빈 이태원제일기획옆점,36434852.0,커피34,라떼10,헤이즐넛8,수박주스5,바닐라라떼5,만족도92,맛60,서비스40,분위기8,메뉴5,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,매장이 청결해요
카페필로스,960061966.0,커피90,라떼23,아이스티8,아메리카노7,머핀7,만족도300,맛173,서비스21,분위기21,가격9,커피가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요,대화하기 좋아요
곤트란쉐리에 한남점,1725618041.0,소금빵15,크로와상10,샌드위치10,케이크5,파니니5,맛53,만족도29,서비스14,가격3,메뉴2,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,커피가 맛있어요
카페 르상스 사운즈한남점,1529139711.0,커피59,쿠키16,와인16,소금빵12,마들렌10,맛98,만족도86,분위기33,서비스11,메뉴9,음식이 맛있어요,인테리어가 멋져요,매장이 청결해요,친절해요,특별한 메뉴가 있어요
아이엠랑데자뷰 한남비자림점,1994225115.0,,,,,,,,,,,친절해요,특색 있는 제품이 많아요,품질이 좋아요,시설이 깔끔해요,분위기가 편안해요
메가MGC커피 한남오거리점,1364394756.0,커피48,라떼11,스무디4,요거트3,쿠키2,만족도191,맛71,서비스19,가격13,음식량6,커피가 맛있어요,가성비가 좋아요,음료가 맛있어요,친절해요,디저트가 맛있어요
카페드블루 블루스퀘어점,1089116606.0,커피27,라떼7,에이드3,밀크티2,아이스크림1,만족도82,맛46,서비스11,분위기6,메뉴2,커피가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
고든즈,1597788733.0,치즈29,치즈케이크18,케이크17,바스크치즈케이크3,위스키2,맛55,만족도35,목적8,서비스5,배달4,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
뮵,1301962227.0,,,,,,,,,,,,,,,
페이퍼블랑&카페,1864037749.0,커피11,라떼4,플랫화이트3,아메리카노1,바닐라라떼1,맛16,만족도6,분위기3,서비스1,가격1,커피가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요,인테리어가 멋져요
비원에프,38514063.0,커피4,쥬스3,김치찜3,밀크티2,김치볶음밥2,맛17,만족도16,서비스3,메뉴3,분위기3,가성비가 좋아요,친절해요,커피가 맛있어요,대화하기 좋아요,음료가 맛있어요
아카이뷰,1605560661.0,,,,,,커피1,만족도1,맛1,,,,,,,
챔프커피리움,1641235224.0,커피96,쿠키20,라떼18,플랫화이트4,아메리카노4,맛100,만족도67,서비스9,음식량9,메뉴4,커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요
브랜드한남,1914211634.0,커피22,아이스크림7,아인슈페너4,스무디3,우동3,맛49,만족도45,분위기23,서비스23,목적3,인테리어가 멋져요,친절해요,커피가 맛있어요,매장이 청결해요,좌석이 편해요
