,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
오츠커피 연남,아인슈페너247,커피154,스콘42,라떼23,아메리카노13,맛379,만족도185,서비스35,분위기34,음식량11,커피가 맛있어요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요
마가렛 연남,케이크117,커피107,스콘43,치즈23,타르트19,맛405,만족도295,분위기76,서비스47,메뉴39,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
Are&am,커피27,케이크23,티라미수23,초콜릿21,라떼14,맛134,만족도115,분위기32,서비스26,목적4,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,음료가 맛있어요,친절해요
작당모의,커피70,티라미수50,라떼28,에이드25,타르트19,맛335,만족도259,분위기139,서비스60,가격24,디저트가 맛있어요,음료가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요
파이인더샵,커피118,케이크58,라떼49,치즈47,치즈케이크25,맛589,만족도475,분위기136,서비스63,메뉴60,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,사진이 잘 나와요
하우에버 연남,"카스테라1,207",커피369,라떼114,우유93,아인슈페너60,"만족도2,378","맛2,162",분위기895,서비스298,메뉴94,인테리어가 멋져요,디저트가 맛있어요,특별한 메뉴가 있어요,사진이 잘 나와요,커피가 맛있어요
스트로베리32 연남본점,케이크312,딸기케이크95,과일26,우유21,딸기우유8,맛596,만족도391,서비스88,목적62,예약52,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,디저트가 맛있어요
청수당공명,커피176,수플레133,우유65,케이크37,카스테라32,만족도518,맛441,분위기285,가격33,서비스31,인테리어가 멋져요,디저트가 맛있어요,사진이 잘 나와요,음료가 맛있어요,커피가 맛있어요
치플레,치즈369,케이크317,치즈케이크248,수플레127,밀크티69,"맛2,328","만족도1,874",서비스711,목적672,분위기342,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
카페 레이어드 연남점,스콘252,케이크139,커피83,얼그레이35,치즈22,맛461,만족도340,분위기92,서비스44,메뉴36,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,사진이 잘 나와요
코티지블루,파스타22,토스트19,커피16,프렌치토스트13,라떼8,맛66,만족도63,분위기31,서비스22,메뉴8,인테리어가 멋져요,커피가 맛있어요,사진이 잘 나와요,디저트가 맛있어요,친절해요
바나나하루키,케이크113,커피20,레몬케이크15,얼그레이7,라떼5,맛142,만족도83,서비스16,분위기15,메뉴6,디저트가 맛있어요,음료가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요
랜디스도넛 연남점,"도넛1,550",커피117,초콜릿24,민트초코22,아메리카노21,"맛2,674","만족도1,326",서비스241,대기시간161,메뉴76,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
펠른,커피478,위스키78,더치커피24,마카롱10,드립커피9,만족도862,맛415,서비스356,분위기178,목적75,커피가 맛있어요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요
얼스어스,케이크139,커피61,요거트43,치즈31,라떼23,맛276,만족도153,분위기44,서비스39,메뉴10,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
브론시스,타르트476,커피238,치즈130,크림치즈114,과일103,맛513,만족도337,분위기126,서비스52,메뉴47,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,대화하기 좋아요
카페드댕,커피91,휘낭시에28,치즈11,애플시나몬11,라떼10,맛190,만족도152,분위기83,서비스31,메뉴26,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,매장이 청결해요
에브리데이해피벌스데이,커피172,케이크64,토스트53,라떼52,브라우니41,만족도642,맛628,분위기254,서비스146,메뉴32,디저트가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,커피가 맛있어요
커피리브레 연남점,커피239,라떼54,핸드드립9,에스프레소7,드립커피6,맛239,만족도170,서비스32,분위기16,가격15,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,가성비가 좋아요
잼잼,흑임자126,커피94,라떼56,아이스크림50,파스타43,맛298,만족도222,분위기80,서비스67,메뉴21,음식이 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,매장이 청결해요
오버딥,마들렌68,커피55,라떼27,크림라떼14,에이드11,만족도182,맛157,분위기79,서비스23,메뉴8,인테리어가 멋져요,디저트가 맛있어요,사진이 잘 나와요,커피가 맛있어요,컨셉이 독특해요
티크닉,스콘198,밀크티49,아이스티14,쿠키12,커피10,맛260,만족도174,서비스66,메뉴54,분위기37,디저트가 맛있어요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요
표정,케이크323,구겔호프190,커피105,초코케이크41,얼그레이16,맛472,만족도456,목적200,서비스108,분위기43,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
브라운하우스 연남,커피96,케이크44,치즈39,치즈케이크35,아메리카노6,만족도162,맛147,분위기89,서비스30,목적5,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,친절해요,대화하기 좋아요
꽈페 연남본점,꽈배기467,치즈45,티라미수41,커피39,도넛34,맛863,만족도595,서비스202,목적98,메뉴82,특별한 메뉴가 있어요,빵이 맛있어요,디저트가 맛있어요,친절해요,매장이 청결해요
카페클로이인패리스,케이크233,커피146,라떼76,크로플74,생크림케이크58,맛774,만족도691,분위기481,서비스108,메뉴52,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,커피가 맛있어요,사진이 잘 나와요
피오니 연남점,케이크191,딸기케이크97,생크림케이크35,빙수34,딸기생크림케이크21,맛349,만족도162,서비스24,목적18,청결도7,디저트가 맛있어요,친절해요,선물하기 좋아요,특별한 메뉴가 있어요,매장이 청결해요
동명양과자점,쿠키23,치즈15,푸딩10,브레드9,크림치즈8,맛64,만족도42,서비스8,목적5,메뉴3,빵이 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,종류가 다양해요
카페스콘,스콘79,케이크59,커피46,레몬케이크38,코코넛케이크20,맛190,만족도173,분위기55,서비스25,메뉴8,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
모닝캄커피랩 연남점,커피65,치즈34,크로플16,아이스크림15,브라운치즈크로플8,맛86,만족도70,분위기37,서비스18,메뉴11,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요
코코리코,바게트23,치즈19,포카치아19,크림치즈11,치아바타11,맛141,만족도86,서비스29,음식량6,가격5,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
파롤앤랑그,옥수수149,바질145,커피56,타르트24,라떼16,맛565,만족도349,대기시간46,가격44,서비스39,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,인테리어가 멋져요
17도씨,초콜릿94,빙수84,초코빙수40,아이스크림38,초코아이스크림16,맛222,만족도118,서비스32,목적19,가격9,디저트가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요,커피가 맛있어요
테일러커피 연남점,커피194,크림모카39,아인슈페너30,라떼18,드립커피6,맛261,만족도150,분위기32,서비스30,메뉴10,커피가 맛있어요,친절해요,음료가 맛있어요,대화하기 좋아요,디저트가 맛있어요
버터앤쉘터 연남점,커피201,쿠키183,스콘50,옥수수35,라떼28,맛716,만족도433,분위기219,서비스66,메뉴41,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요
히포,커피115,토스트99,프렌치토스트67,파스타56,치즈48,맛477,만족도441,분위기176,서비스110,메뉴44,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,음식이 맛있어요,매장이 청결해요
수크레크레페하우스,크레페68,치즈16,커피7,아이스크림5,뱅쇼4,맛87,만족도69,서비스29,분위기17,음식량10,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음식이 맛있어요
씨스루,커피432,라떼143,크로플110,쿠키58,아이스크림37,"맛1,199","만족도1,111",분위기480,서비스283,메뉴117,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요
땡스오트 연남,요거트141,그릭요거트53,샌드위치43,치즈16,연어14,맛282,만족도170,분위기39,서비스37,음식량22,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,매장이 청결해요
피프에스프레소바,커피79,에스프레소56,티라미수10,크로플9,얼그레이3,맛104,만족도84,분위기24,서비스15,메뉴8,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요
모투누이,라떼141,브라우니99,쿠키81,티라미수79,쑥라떼76,맛608,만족도482,서비스153,분위기148,메뉴36,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,커피가 맛있어요
블루보틀 연남 카페,커피5,라떼2,아이스크림1,,,커피5,라떼2,아이스크림1,만족도9,맛9,커피가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,뷰가 좋아요
달콤다정,타르트158,레몬타르트122,스콘75,밀크티57,샌드위치51,맛516,만족도422,서비스156,분위기128,메뉴79,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요
리틀빅토리,까눌레212,휘낭시에106,마카롱105,마들렌48,구움과자34,맛359,만족도170,서비스60,목적19,가격6,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,빵이 맛있어요,매장이 청결해요
페블스,푸딩101,치즈14,커피10,아이스크림10,커스터드8,맛111,만족도49,대기시간10,분위기7,서비스7,디저트가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요,커피가 맛있어요
MIDNIGHT PLEASURE,와인18,까눌레6,케이크3,얼그레이3,휘낭시에2,맛34,만족도26,서비스11,가격4,목적4,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요
SOP,커피64,케이크23,치즈14,치즈케이크11,라떼9,맛117,만족도89,분위기33,서비스24,메뉴16,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
파지티브호텔 클럽하우스,파스타21,와인9,치킨6,샐러드4,스테이크2,맛53,만족도47,서비스16,분위기16,메뉴6,음식이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,재료가 신선해요,친절해요
올웨이즈어거스트 제작소,커피33,라떼7,케이크4,컵케이크3,몽블랑2,맛41,만족도33,분위기11,서비스10,위치4,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
맥코이 연남,커피179,라떼21,티라미수18,아메리카노9,베이글7,맛189,만족도116,분위기68,서비스19,메뉴3,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,사진이 잘 나와요
오흐뒤구떼,구움과자6,마들렌5,휘낭시에3,초코쿠키1,비스코티1,맛12,만족도8,서비스3,예약1,분위기1,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요
에스프레소 부티크,커피38,에스프레소14,밀크티5,크로플3,라떼2,만족도48,맛42,분위기18,서비스11,메뉴8,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요,음료가 맛있어요,친절해요
멜팅오브,파르페64,케이크56,커피48,치즈28,팡도르26,맛156,만족도155,분위기56,메뉴19,목적16,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,사진이 잘 나와요,커피가 맛있어요
턴다운서비스,커피63,라떼22,아이스크림13,케이크8,치즈8,만족도110,맛99,분위기70,서비스18,메뉴10,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음악이 좋아요,음료가 맛있어요
코리코카페,케이크346,커피263,타르트194,팬케이크127,라떼89,"만족도3,010","맛1,983",분위기921,서비스234,메뉴108,인테리어가 멋져요,사진이 잘 나와요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요
테누커피,모찌50,빙수44,커피43,딸기모찌21,찹쌀떡5,맛110,만족도76,서비스14,분위기11,음식량11,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,인테리어가 멋져요
벌스가든,케이크24,커피19,라떼6,아메리카노4,레몬케이크3,만족도56,서비스28,맛28,가격22,분위기17,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,사진이 잘 나와요
메리트리,크로플15,케이크9,빙수8,커피5,라떼5,맛38,만족도38,분위기10,서비스4,가격1,디저트가 맛있어요,음료가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요
lebonble 르봉블레,쿠키39,타르트18,커피4,과일4,얼그레이4,맛37,만족도33,목적27,서비스6,분위기6,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,빵이 맛있어요,디저트가 맛있어요
라헬의부엌 연남점,수플레123,케이크31,팬케이크24,커피23,빙수13,맛162,만족도110,분위기25,서비스23,메뉴10,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요
콩카페 연남점,커피136,스무디69,코코넛스무디51,연유커피24,코코넛커피22,맛218,만족도165,분위기38,서비스21,음식량3,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,대화하기 좋아요
더파이샵,푸딩44,커피24,치즈6,약과5,라떼4,맛122,만족도79,분위기14,서비스13,목적6,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요
목화씨라운지,푸딩168,커피54,케이크17,치즈15,치즈케이크13,맛186,만족도131,분위기41,서비스22,음식량7,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요
Deweet,커피29,케이크26,밀크티8,까눌레6,아인슈페너6,맛142,만족도85,분위기28,서비스26,가격10,디저트가 맛있어요,친절해요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요
한국공인금거래소 은평DMC지점,,,,,,,,,,,친절해요,매장이 청결해요,주차하기 편해요,선물하기 좋아요,상품이 다양해요
포포민즈낫띵,커피12,휘낭시에12,옥수수9,구움과자7,케이크6,맛85,만족도70,서비스24,목적6,분위기4,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,인테리어가 멋져요
펠른 연남,커피47,라떼14,에스프레소14,케이크5,마들렌5,맛64,만족도62,서비스19,분위기16,메뉴6,커피가 맛있어요,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
피에트라,젤라또83,아이스크림28,초콜릿11,막걸리11,치즈6,맛142,만족도98,서비스27,분위기12,가격5,디저트가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,친절해요,인테리어가 멋져요
코이크,케이크167,커피34,치즈27,치즈케이크24,라떼12,맛201,만족도136,분위기33,서비스28,목적4,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,음료가 맛있어요
소하염전 연남,소금빵95,커피23,우유15,치즈7,크림치즈5,맛100,만족도62,분위기23,서비스14,메뉴4,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,특별한 메뉴가 있어요,사진이 잘 나와요
연트럴다방,스콘79,커피69,라떼45,약과30,토스트25,만족도200,맛193,서비스104,분위기74,메뉴16,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
매일 카페,커피42,라떼19,밀크티18,푸딩14,케이크12,만족도164,맛157,분위기96,서비스57,메뉴25,친절해요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,커피가 맛있어요
위트앤척클,아이스크림19,쿠키9,쉐이크5,밀크쉐이크5,바닐라아이스크림3,맛19,만족도19,서비스7,분위기5,청결도1,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요
폴리스팬케이크,케이크56,팬케이크55,아이스크림19,커피14,밀크티6,맛96,만족도53,서비스19,분위기12,메뉴9,디저트가 맛있어요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요
씨스터브레드,소금빵61,식빵11,브레드5,바게트3,모닝빵2,맛60,만족도29,서비스11,목적3,분위기2,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
어니스트팬케이크,케이크295,팬케이크279,커피66,아이스크림37,아메리카노26,맛430,만족도255,서비스213,분위기53,메뉴21,디저트가 맛있어요,친절해요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요
사이드테이블,크로플254,커피246,아인슈페너69,에이드54,치즈50,맛634,만족도506,분위기351,서비스177,메뉴49,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
미라지커피,크로플177,커피80,라떼13,아이스티10,플랫화이트9,맛197,만족도164,분위기82,서비스77,메뉴9,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
지구제과,케이크36,얼그레이22,레몬케이크18,티라미수12,스콘10,맛153,만족도80,서비스51,음식량3,메뉴3,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
롱베케이션,푸딩348,라떼153,커피122,말차라떼117,녹차73,맛674,만족도470,분위기232,서비스84,메뉴28,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,커피가 맛있어요,친절해요
로프스페이스 연남,커피53,크로플9,라떼8,에이드5,드립커피4,만족도79,맛69,분위기30,서비스18,메뉴4,인테리어가 멋져요,커피가 맛있어요,사진이 잘 나와요,친절해요,뷰가 좋아요
발트 본점,크로플108,커피42,치즈40,라떼26,브라운치즈크로플11,맛147,만족도97,분위기48,서비스24,메뉴12,인테리어가 멋져요,디저트가 맛있어요,커피가 맛있어요,사진이 잘 나와요,친절해요
베란다컵케익,컵케이크36,케이크29,커피14,얼그레이4,아메리카노3,맛84,만족도68,분위기20,서비스7,목적5,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요
누크녹,커피154,바질148,에이드114,치즈77,크림치즈71,맛691,만족도527,분위기227,서비스222,메뉴31,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요
하프베이글,베이글102,치즈26,크림치즈23,참치23,과일21,맛113,만족도75,서비스33,메뉴11,가격4,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
꿀넹쿠키 연남점,쿠키474,푸딩104,약과80,커피66,스콘50,맛514,만족도344,서비스91,메뉴62,목적46,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
아꽁뜨,휘낭시에51,커피30,타르트15,까눌레13,라떼7,맛142,만족도71,서비스28,목적14,메뉴7,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
위아소울메이트,커피49,케이크36,라떼16,쿠키15,빙수14,맛185,만족도159,분위기82,서비스25,메뉴22,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,친절해요
코코시에나 티오마카세,홍차7,다식5,밀크티3,녹차3,바질2,만족도220,맛86,서비스73,분위기30,가격9,차가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,디저트가 맛있어요
플루밍,커피11,소금빵5,푸딩5,파르페4,라떼4,맛27,만족도17,서비스8,분위기6,메뉴3,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
오피스오브,흑임자38,커피12,라떼10,아이스크림9,휘낭시에6,맛69,만족도48,가격6,메뉴5,분위기5,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요
플렘므,수플레101,케이크30,커피27,크로플21,팬케이크20,맛157,만족도114,분위기37,서비스30,메뉴12,디저트가 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
원모어프로포즈,케이크15,에이드11,커피9,치즈7,치즈케이크6,맛38,만족도25,분위기7,서비스3,메뉴1,디저트가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요
유니크혼,소라79,커피32,우유9,아메리카노7,감자샐러드7,맛155,만족도120,서비스45,분위기21,목적14,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요
무무대베이크,푸딩40,케이크24,휘낭시에14,아이스크림7,옥수수4,맛68,만족도48,서비스20,목적5,분위기4,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,매장이 청결해요
네시사분,카스테라42,크로플31,라떼28,과일22,커피16,맛190,만족도124,서비스28,분위기24,가격10,디저트가 맛있어요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요
스몰럭케이크,케이크139,커피34,라떼12,초코케이크11,레터링케이크11,맛178,만족도141,분위기42,서비스31,목적10,디저트가 맛있어요,인테리어가 멋져요,친절해요,커피가 맛있어요,음료가 맛있어요
흐림,케이크72,커피70,치즈65,라떼60,치즈케이크60,맛212,만족도152,분위기88,서비스57,전망15,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
오랑지,크로플66,밀크티38,커피35,푸딩21,라떼18,서비스310,만족도274,맛272,분위기53,메뉴42,친절해요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,커피가 맛있어요
브래디스커피,소금빵29,커피17,라떼10,에이드8,크림라떼4,만족도60,맛55,서비스28,분위기28,음식량2,인테리어가 멋져요,커피가 맛있어요,사진이 잘 나와요,디저트가 맛있어요,친절해요
커피냅로스터스 연남동,커피60,라떼18,플랫화이트6,휘낭시에5,스콘3,맛78,만족도60,분위기29,서비스10,메뉴4,커피가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,음료가 맛있어요
디 아더,칵테일18,와인11,커피7,치즈5,미숫가루2,만족도96,분위기71,맛37,서비스10,목적6,인테리어가 멋져요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요,사진이 잘 나와요
코메아벨렘,타르트74,에그타르트72,커피5,푸딩4,계란찜2,맛89,만족도36,서비스6,가격4,배달2,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,커피가 맛있어요
스트뉴,커피49,치즈15,케이크14,티라미수14,치즈케이크13,만족도74,맛68,분위기28,서비스15,메뉴9,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
카페 만월회 그로서리마켓,하이볼62,밀크티61,흑임자17,라떼15,커피13,맛224,만족도216,서비스202,메뉴66,목적54,음료가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,디저트가 맛있어요
유니드마이요거트,요거트74,그릭요거트14,아이스크림12,요거트아이스크림9,베이글6,맛73,만족도69,분위기20,서비스11,목적4,인테리어가 멋져요,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,사진이 잘 나와요
누아즈데테,커피5,스콘5,쿠키2,에이드2,마들렌1,맛12,만족도11,서비스4,분위기3,전망1,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요
이오엠,커피23,토스트9,프렌치토스트8,에이드5,라떼5,만족도40,맛34,분위기9,전망7,목적4,뷰가 좋아요,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
녹온,커피30,새우19,까눌레17,토스트17,샌드위치17,맛137,만족도117,서비스37,분위기36,메뉴14,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
마들젠,푸딩23,브라우니15,케이크14,에그타르트13,타르트13,맛83,만족도54,서비스26,목적6,배달3,특별한 메뉴가 있어요,친절해요,빵이 맛있어요,매장이 청결해요,가성비가 좋아요
앳더모먼트,케이크64,커피28,치즈20,치즈케이크14,에이드8,맛99,만족도71,서비스36,분위기24,목적5,디저트가 맛있어요,친절해요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요
서당개2년로스터스,커피48,스콘17,라떼10,와인6,브라우니4,만족도105,맛73,분위기27,서비스10,메뉴3,커피가 맛있어요,뷰가 좋아요,집중하기 좋아요,음료가 맛있어요,인테리어가 멋져요
작은새,,,,,,만족도15,맛14,파스타3,분위기3,서비스2,특별한 메뉴가 있어요,친절해요,음식이 맛있어요,건강한 맛이에요,메뉴 구성이 알차요
믜요,강정5,양갱4,다식3,화과자2,약과1,만족도40,맛39,서비스15,분위기12,목적10,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,음료가 맛있어요
모리노팡,소금빵37,식빵23,야끼소바빵17,메론빵16,야끼소바12,맛115,만족도64,서비스8,가격6,음식량4,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
레또르떼,케이크20,커피11,타르트6,딸기케이크5,몽블랑4,맛42,만족도40,분위기13,서비스8,가격6,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
