,code,menu_1,menu_2,menu_3,menu_4,menu_5,feature_1,feature_2,feature_3,feature_4,feature_5,short_top1,short_top2,short_top3,short_top4,short_top5
더반 베를린 연희점,1624356996.0,커피6,플랫화이트1,롱블랙1,브루잉커피1,카푸치노1,만족도7,맛7,메뉴2,전망1,분위기1,커피가 맛있어요,인테리어가 멋져요,뷰가 좋아요,대화하기 좋아요,친절해요
연희 에스프레소 바,1051152758.0,에스프레소26,커피14,라떼2,쿠키1,푸딩1,맛42,만족도26,서비스7,분위기6,메뉴2,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요,인테리어가 멋져요
카시코이,1917836906.0,화과자67,양갱8,라떼7,커피4,말차라떼3,만족도84,맛56,목적32,분위기12,서비스12,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,사진이 잘 나와요
보케,1518411270.0,커피43,와인15,라떼11,치즈7,케이크7,만족도89,맛81,서비스32,분위기31,메뉴5,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,매장이 청결해요
시간이머무는홍차가게,34326631.0,홍차177,스콘58,샌드위치37,얼그레이21,밀크티15,만족도411,맛310,서비스140,분위기128,메뉴31,차가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,대화하기 좋아요
연희동 국화빵,1649486164.0,아이스크림3,얼그레이2,송편1,치즈1,옥수수1,아이스크림3,얼그레이2,송편1,치즈1,옥수수1,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
디폴트밸류,1304058353.0,커피164,라떼79,크로플29,아메리카노19,우유11,맛230,만족도129,서비스55,분위기18,가격8,커피가 맛있어요,친절해요,디저트가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요
해피앤피스커피클럽,1708381623.0,커피11,케이크8,푸딩5,아메리카노5,초코케이크4,맛24,만족도22,서비스5,분위기2,메뉴1,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요
연희동오븐,1410811129.0,케이크79,휘낭시에16,마카롱15,타르트10,파운드케이크4,만족도151,맛93,목적61,서비스32,가격5,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,사진이 잘 나와요
비전스트롤 연희점,1467076256.0,커피4,라떼3,필터커피1,휘낭시에1,,커피4,라떼3,필터커피1,휘낭시에1,맛5,,,,,
lodge190,1604858931.0,커피30,토스트27,프렌치토스트26,라떼9,빙수5,맛70,만족도59,분위기25,서비스14,메뉴5,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
알트,1642181766.0,케이크86,커피29,밀크티12,요거트11,쿠키8,맛132,만족도119,서비스52,분위기23,목적19,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요
로덴드론 연희 1호점,1595735508.0,커피110,라떼9,스콘8,아메리카노6,치즈5,만족도183,맛171,분위기45,서비스42,주차24,커피가 맛있어요,디저트가 맛있어요,친절해요,대화하기 좋아요,음료가 맛있어요
컬러드 빈,1568967528.0,커피89,라떼28,플랫화이트14,우유9,필터커피9,맛90,만족도69,서비스34,분위기13,음식량4,커피가 맛있어요,친절해요,매장이 청결해요,인테리어가 멋져요,사진이 잘 나와요
그로밋커피하우스,1656206859.0,커피30,비스코티5,필터커피3,토스트3,라떼2,맛33,만족도29,서비스12,분위기8,위치2,커피가 맛있어요,친절해요,집중하기 좋아요,인테리어가 멋져요,디저트가 맛있어요
다도레 티룸,1194851065.0,다식19,홍차13,녹차6,커피6,유자차4,만족도268,서비스112,맛105,분위기54,목적20,차가 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,인테리어가 멋져요
카페 데스툴 연희점,1304262793.0,커피64,라떼17,케이크11,당근케이크9,초코케이크6,맛80,만족도75,분위기28,서비스23,메뉴4,커피가 맛있어요,인테리어가 멋져요,친절해요,음악이 좋아요,매장이 청결해요
뚤리,1505308863.0,커피17,라떼9,케이크8,몽블랑4,구움과자3,맛46,만족도36,분위기9,서비스8,메뉴4,디저트가 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요
쿳사 연희,1478636575.0,에그베네딕트91,커피76,치킨30,파스타22,샐러드19,맛945,만족도700,서비스339,분위기146,메뉴92,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,재료가 신선해요,인테리어가 멋져요
연희양과점 연희점,1635845245.0,까눌레83,휘낭시에32,커피16,스콘15,쿠키12,맛129,만족도72,목적24,서비스23,분위기4,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,빵이 맛있어요
베지스,1672337474.0,파스타9,타코9,맥주3,프렌치토스트3,토스트3,맛24,만족도16,서비스5,메뉴3,위치3,특별한 메뉴가 있어요,친절해요,음식이 맛있어요,재료가 신선해요,반려동물과 가기 좋아요
피크닉베이크,1444051774.0,케이크20,쿠키8,마카롱6,딸기케이크5,과일4,맛39,만족도27,서비스6,목적4,가격3,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,가성비가 좋아요
미도파,1056913162.0,커피15,드립커피2,핸드드립1,우유1,하이볼1,만족도48,분위기17,맛14,서비스3,목적1,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,대화하기 좋아요,친절해요
혹스턴,1008629511.0,커피72,라떼23,치즈8,크림라떼8,브라우니8,맛100,만족도88,분위기51,서비스18,메뉴16,커피가 맛있어요,인테리어가 멋져요,집중하기 좋아요,친절해요,매장이 청결해요
뉘블랑쉬,1529107355.0,커피25,시나몬롤6,크로와상6,아메리카노4,쿠키4,맛73,만족도43,서비스10,분위기9,가격4,빵이 맛있어요,친절해요,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요
제니스 까페,19873189.0,파스타124,피자60,스테이크31,커피24,샌드위치23,맛511,만족도423,서비스140,분위기98,예약91,특별한 메뉴가 있어요,친절해요,대화하기 좋아요,인테리어가 멋져요,매장이 청결해요
감과당,1488367668.0,커피11,화과자8,약과6,식혜4,양갱3,맛44,만족도32,서비스15,분위기5,목적5,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,매장이 청결해요
스타벅스 연희DT점,36462644.0,커피70,라떼23,샌드위치8,아메리카노7,돌체라떼4,만족도539,맛172,서비스125,주차39,분위기16,커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요,디저트가 맛있어요
그로어스,1038765233.0,파스타108,항정살39,커피28,오일파스타26,토스트17,맛378,만족도336,분위기156,서비스67,음식량39,음식이 맛있어요,인테리어가 멋져요,뷰가 좋아요,친절해요,재료가 신선해요
다크에디션커피,1779458685.0,커피10,연유라떼1,라떼1,드립커피1,과일1,커피10,연유라떼1,라떼1,드립커피1,과일1,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요,집중하기 좋아요
카페 니어리,1514592974.0,커피4,케이크2,롤케이크1,에이드1,크림라떼1,커피4,케이크2,롤케이크1,에이드1,크림라떼1,,,,,
포싵,1352553531.0,,,,,,맛5,만족도4,케이크3,서비스3,치즈1,,,,,
티아레나,1534115818.0,스콘52,홍차29,밀크티20,샌드위치7,케이크7,만족도161,맛128,서비스82,분위기55,메뉴31,차가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음료가 맛있어요
프레스도넛 연희,1299963885.0,도넛92,커피29,바질16,크림브륄레12,치즈10,맛126,만족도72,분위기22,서비스16,가격6,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
해피헤비드링커,1115775390.0,커피54,샌드위치31,라떼15,파스타12,치즈6,맛77,만족도76,서비스30,분위기30,메뉴4,커피가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,사진이 잘 나와요
로우키 연희점,1162811035.0,커피30,드립커피3,라떼3,핸드드립1,애플크럼블1,만족도29,맛27,서비스9,분위기7,주차2,커피가 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요,대화하기 좋아요
파츄코 파라다이스,1704067550.0,커피4,샌드위치1,파스타1,초코라떼1,라떼1,맛6,만족도5,분위기2,서비스1,목적1,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요
콜드레시피,32581553.0,아이스크림28,젤라또15,얼그레이13,초콜릿5,바질3,맛90,만족도40,서비스10,위치1,가격1,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,재료가 신선해요
모와림,1072773246.0,타르트9,옥수수4,몽블랑3,커피3,바질2,맛29,만족도24,분위기6,서비스3,메뉴1,디저트가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요
객기,1697518534.0,케이크7,커피7,핸드드립5,타르트4,에그타르트4,맛8,만족도8,메뉴4,분위기1,서비스1,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
뺑드에떼,1449936639.0,소금빵6,치즈6,식빵5,커피4,바게트3,맛37,만족도19,가격5,메뉴3,목적2,빵이 맛있어요,친절해요,매장이 청결해요,특별한 메뉴가 있어요,재료가 신선해요
시도 플레이스,1783008026.0,커피270,라떼37,스콘31,얼그레이22,호떡19,만족도454,맛424,분위기208,서비스137,메뉴11,인테리어가 멋져요,커피가 맛있어요,친절해요,매장이 청결해요,사진이 잘 나와요
까사드선주,1077129581.0,크로와상10,뺑오쇼콜라7,소금빵6,시나몬롤4,치아바타3,맛62,만족도37,서비스19,가격4,목적4,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
스타벅스 연희동점,881841799.0,커피37,라떼19,케이크8,아메리카노8,초콜릿5,만족도378,맛141,서비스103,분위기27,청결도7,커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요,디저트가 맛있어요
미크 커피,1726138744.0,커피8,아메리카노3,아인슈페너2,쿠키2,라떼2,맛19,만족도14,서비스7,가격3,분위기2,커피가 맛있어요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요,디저트가 맛있어요
곳간,195827937.0,식빵91,쿠키26,브리오슈24,카스테라14,브라우니7,맛127,만족도77,목적4,서비스4,가격3,특별한 메뉴가 있어요,디저트가 맛있어요,가성비가 좋아요,친절해요,매장이 청결해요
본솔커피 연희점,35689660.0,커피75,크로플56,라떼29,아이스크림25,케이크11,맛167,만족도138,분위기56,서비스48,가격28,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,가성비가 좋아요
휴,1146822605.0,커피8,와인4,샌드위치2,치즈1,식빵1,만족도11,맛5,분위기4,메뉴2,서비스2,커피가 맛있어요,인테리어가 멋져요,대화하기 좋아요,사진이 잘 나와요,친절해요
카페 브라마솔레,1223748463.0,커피15,와인5,토스트4,프렌치토스트2,샌드위치1,맛23,만족도22,분위기12,서비스5,메뉴3,친절해요,인테리어가 멋져요,음식이 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요
니도 로스터리 연희,1631943127.0,커피27,드립커피2,라떼2,와인2,바질1,맛26,만족도20,분위기14,서비스8,목적2,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,매장이 청결해요
버드스틱,37463436.0,케이크17,치즈케이크1,치즈1,과일1,,케이크17,치즈케이크1,치즈1,과일1,맛23,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
카페 베이지크,1344278935.0,커피16,라떼4,에이드2,바닐라라떼2,플랫화이트1,맛26,만족도23,분위기12,목적10,서비스4,커피가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,음료가 맛있어요
마이디어스윗,1236022613.0,스콘14,케이크3,커피3,당근케이크2,토스트2,맛39,만족도22,분위기3,청결도2,목적1,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요
비피엠 파이엔타르트,1941437395.0,타르트26,커피15,치즈5,과일5,수제파이4,맛52,만족도41,서비스20,가격11,분위기10,디저트가 맛있어요,친절해요,인테리어가 멋져요,가성비가 좋아요,커피가 맛있어요
오트,1168033720.0,토스트69,파스타68,에그베네딕트53,연어34,프렌치토스트32,맛297,만족도235,서비스71,분위기66,음식량30,음식이 맛있어요,인테리어가 멋져요,친절해요,뷰가 좋아요,재료가 신선해요
커피팝,31397819.0,커피46,팥빙수4,라떼3,옛날팥빙수3,소금커피2,맛48,만족도46,서비스8,분위기6,음식량3,커피가 맛있어요,대화하기 좋아요,음료가 맛있어요,친절해요,매장이 청결해요
금양식방,1023945232.0,식빵16,스콘13,케이크6,치즈4,젤리3,맛28,만족도24,가격7,서비스4,목적1,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
초콜릿책방,1885163968.0,초콜릿7,커피6,핫초코2,수제초콜릿2,라떼2,맛18,만족도12,분위기8,서비스8,목적2,친절해요,집중하기 좋아요,특별한 메뉴가 있어요,커피가 맛있어요,읽을만한 책이 많아요
1994studio,1327326465.0,치즈1,케이크1,치즈케이크1,,,치즈1,케이크1,치즈케이크1,맛2,서비스1,,,,,
빵쌤 연희점,1413562779.0,커피29,소금빵15,고구마빵7,치즈5,샐러드5,맛127,만족도102,서비스27,분위기11,메뉴10,빵이 맛있어요,매장이 청결해요,커피가 맛있어요,친절해요,대화하기 좋아요
커피팜,1354328088.0,와플26,커피19,치즈5,라떼4,크림치즈3,맛33,만족도26,서비스8,분위기5,가격2,커피가 맛있어요,친절해요,디저트가 맛있어요,대화하기 좋아요,인테리어가 멋져요
아텐데르,1649668565.0,커피27,와플11,라떼5,아메리카노3,아이스크림2,맛45,만족도29,서비스16,분위기10,목적3,커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,친절해요,매장이 청결해요
다파올로,1020870727.0,젤라또28,커피17,아이스크림5,브리오슈3,헤이즐넛3,맛30,만족도14,분위기5,서비스3,목적1,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요,친절해요
하이파이,1567614341.0,옥수수21,애플파이18,아이스크림15,아이스티5,빨미까레2,맛69,만족도38,서비스8,목적6,가격3,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
베리굳베이글 연희점,1487649314.0,베이글40,치즈7,크림치즈4,샌드위치4,커피2,맛46,만족도21,서비스7,위치2,분위기1,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,매장이 청결해요,가성비가 좋아요
벨르아티,1173068712.0,,,,,,밀크티6,메뉴6,맛6,만족도5,서비스4,,,,,
에스페란자 로스터즈 연희점,1162955947.0,커피18,라떼3,아메리카노2,드립커피1,카푸치노1,맛19,만족도17,서비스8,분위기3,가격1,커피가 맛있어요,친절해요,음료가 맛있어요,아늑해요,인테리어가 멋져요
그레인서울,1413655852.0,커피2,케이크1,팬케이크1,샌드위치1,오렌지주스1,만족도18,맛17,서비스6,대기시간2,목적2,음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요
퍼스트바이쓰리,1437596761.0,커피11,에이드2,솜사탕1,라떼1,레몬마들렌1,맛13,만족도9,분위기3,서비스2,주차1,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,사진이 잘 나와요
디싸이시브모먼트,1556698158.0,커피47,쿠키5,드립커피4,케이크2,치즈2,맛57,만족도54,분위기22,서비스18,전망6,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,대화하기 좋아요
반지하1호,1214076153.0,커피8,에이드1,자몽에이드1,초코라떼1,라떼1,만족도10,맛8,서비스6,분위기2,가격1,커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,가성비가 좋아요
컨시어지커피,590072955.0,커피24,라떼9,밀크티6,바닐라라떼3,플랫화이트1,만족도28,맛26,서비스13,메뉴9,분위기7,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,매장이 청결해요
제니스커피하우스,18256466.0,커피7,스콘1,녹차라떼1,녹차1,라떼1,만족도14,맛13,분위기8,서비스2,위치2,커피가 맛있어요,대화하기 좋아요,인테리어가 멋져요,음료가 맛있어요,친절해요
카페서문,1808916379.0,커피5,케이크2,과일1,쿠키1,딸기생크림케이크1,만족도12,맛11,분위기5,서비스3,가격2,커피가 맛있어요,친절해요,가성비가 좋아요,음료가 맛있어요,디저트가 맛있어요
잘루,1249134136.0,커피18,푸딩11,바나나푸딩10,라떼8,밀크티5,맛35,만족도32,분위기23,서비스12,메뉴5,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,음료가 맛있어요
산스,1089981837.0,샌드위치12,파스타8,에그베네딕트8,토스트7,시금치파스타5,맛57,만족도38,서비스22,분위기15,메뉴4,음식이 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,재료가 신선해요
투어스비긴,1091772138.0,,,,,,위치5,가격4,편의・부대시설3,시설물관리2,서비스2,집중하기 좋아요,인테리어가 멋져요,좌석이 편해요,차분한 분위기에요,분위기 관리가 철저해요
앙코케이크,1808987461.0,,,,,,만족도1,,,,,,,,,
래핑폭스,33078255.0,샌드위치26,커피18,파니니13,라떼12,크로플8,만족도75,맛72,서비스23,분위기17,메뉴10,음식이 맛있어요,친절해요,인테리어가 멋져요,재료가 신선해요,특별한 메뉴가 있어요
리버럴커피스탠드,1489062146.0,커피22,라떼4,아메리카노4,드립백2,바닐라라떼2,맛28,만족도17,서비스5,분위기4,목적1,커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요,특별한 메뉴가 있어요
배스킨라빈스 연희사러가점,30824576.0,아이스크림46,케이크5,커피4,치즈2,모찌2,만족도220,맛110,서비스58,청결도8,대기시간6,디저트가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요,특별한 메뉴가 있어요
올드프렌드,1508991936.0,커피26,라떼11,플랫화이트5,바닐라라떼1,에스프레소1,맛36,만족도18,서비스13,분위기9,메뉴1,커피가 맛있어요,친절해요,매장이 청결해요,인테리어가 멋져요,음료가 맛있어요
투썸플레이스 서대문연희점,1669885936.0,커피3,케이크3,뱅쇼1,라떼1,딸기우유1,만족도20,맛10,서비스4,예약1,위치1,커피가 맛있어요,디저트가 맛있어요,집중하기 좋아요,매장이 청결해요,인테리어가 멋져요
더니커피,113381429.0,커피26,드립커피4,라떼3,필터커피2,과일1,커피26,드립커피4,라떼3,필터커피2,과일1,커피가 맛있어요,음료가 맛있어요,친절해요,대화하기 좋아요,디저트가 맛있어요
피카니피카노,1737261143.0,스콘42,피칸파이18,타르트13,에그타르트9,도넛8,맛98,만족도46,서비스19,목적6,메뉴4,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
이디야커피 연남동점,1872082399.0,커피18,라떼13,아메리카노8,토피넛라떼5,디카페인아메리카노3,만족도76,맛39,서비스19,분위기8,가격3,커피가 맛있어요,음료가 맛있어요,친절해요,가성비가 좋아요,대화하기 좋아요
오름카페,53395633.0,커피35,라떼4,아메리카노4,수제청1,쥬스1,만족도61,맛35,서비스17,가격6,전망3,커피가 맛있어요,친절해요,가성비가 좋아요,뷰가 좋아요,음료가 맛있어요
이공커피 연희점,1039732705.0,커피72,아메리카노5,라떼4,수박주스3,에이드2,만족도109,맛103,서비스31,가격16,메뉴7,커피가 맛있어요,가성비가 좋아요,음료가 맛있어요,친절해요,매장이 청결해요
빙달 연희점,221287795.0,빙수9,초코케이크1,티라미수1,눈꽃빙수1,요거트1,맛16,서비스10,만족도8,음식량6,위치1,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,양이 많아요
니드모어커피,1114049278.0,커피27,라떼11,케이크7,아메리카노5,우유3,맛40,만족도28,분위기7,서비스6,메뉴2,커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요,매장이 청결해요
메가MGC커피 연희점,1039944392.0,커피108,라떼12,프라페8,스무디5,아이스크림5,만족도268,맛122,서비스23,가격22,음식량14,가성비가 좋아요,커피가 맛있어요,음료가 맛있어요,친절해요,좌석이 편해요
ANNIV,1189230037.0,카스테라7,케이크6,커피4,몽블랑3,휘낭시에3,맛41,만족도33,서비스10,분위기4,목적3,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,커피가 맛있어요,매장이 청결해요
카페 샘,1942375097.0,,,,,,맛5,커피4,샌드위치2,분위기2,만족도2,,,,,
에쉬본,1547365984.0,,,,,,,,,,,,,,,
메르시보꾸,1631335445.0,마카롱20,커피13,라떼7,스콘4,아메리카노4,맛28,만족도20,서비스11,분위기5,목적4,커피가 맛있어요,디저트가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요
파리바게뜨 연희대우점,20882788.0,샐러드11,샌드위치9,바게트8,아메리카노2,아이스크림2,만족도122,맛51,서비스36,메뉴7,위치5,빵이 맛있어요,친절해요,매장이 청결해요,가성비가 좋아요,커피가 맛있어요
바벨의 도서관,1546540481.0,,,,,,방역1,위치1,,,,집중하기 좋아요,좌석이 편해요,컨셉이 독특해요,가성비가 좋아요,매장이 청결해요
이디야커피 연희홍연길점,1564331403.0,,,,,,만족도3,커피1,서비스1,맛1,,,,,,
오늘그대와 본점,1064804903.0,파스타454,리조또300,스테이크111,바질84,새우83,맛905,만족도670,분위기298,서비스238,음식량96,음식이 맛있어요,인테리어가 멋져요,친절해요,재료가 신선해요,매장이 청결해요
연남장,1760425180.0,커피20,파스타11,바질8,라자냐7,치즈7,만족도171,맛157,분위기72,서비스16,메뉴15,인테리어가 멋져요,매장이 넓어요,음식이 맛있어요,매장이 청결해요,친절해요
마켓까눌레,1128595707.0,,,,,,까눌레1,만족도1,,,,,,,,
미미에토,1447058101.0,커피5,크로플2,라떼1,홍차1,홍차라떼1,만족도10,맛6,서비스5,분위기4,위치1,커피가 맛있어요,친절해요,주차하기 편해요,사진이 잘 나와요,매장이 청결해요
비긴커피,1338808846.0,커피14,크로플7,라떼5,치즈4,아인슈페너2,맛34,만족도30,분위기13,서비스4,가격2,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,매장이 청결해요,친절해요
성북당 십원빵 연세대점,1600685694.0,옥수수3,치즈3,커피2,라떼1,피자1,옥수수3,치즈3,커피2,라떼1,피자1,디저트가 맛있어요,친절해요,커피가 맛있어요,음료가 맛있어요,매장이 청결해요
스케네 연희점,36721135.0,커피8,샌드위치3,라떼2,오미자에이드1,에이드1,커피8,샌드위치3,라떼2,오미자에이드1,에이드1,커피가 맛있어요,매장이 청결해요,친절해요,좌석이 편해요,인테리어가 멋져요
카페1997,1306927987.0,,,,,,,,,,,,,,,
WP커피,1388383414.0,쿠키26,커피14,자몽차1,초코케이크1,수제쿠키1,만족도31,맛26,서비스10,주차5,분위기4,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요,친절해요
파리바게뜨 연희안산점,18252035.0,커피7,샐러드7,식빵6,바게트6,케이크4,만족도135,맛64,서비스64,메뉴8,분위기3,빵이 맛있어요,친절해요,매장이 청결해요,가성비가 좋아요,커피가 맛있어요
커피랩로스터스,34348951.0,커피4,청귤차2,라떼1,,,커피4,청귤차2,라떼1,만족도13,맛6,가성비가 좋아요,커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요
"카페, 어서",1234686967.0,커피14,카야토스트6,토스트6,샌드위치4,라떼3,맛22,만족도18,서비스7,가격4,메뉴2,커피가 맛있어요,음료가 맛있어요,가성비가 좋아요,디저트가 맛있어요,친절해요
와이베를린,639777033.0,,,,,,,,,,,,,,,
연희문화살롱,1789900326.0,새우3,떡볶이3,감바스3,새우감바스3,와인3,만족도11,맛6,서비스4,분위기2,메뉴1,인테리어가 멋져요,대화하기 좋아요,친절해요,매장이 청결해요,뷰가 좋아요
카페인더포레스트,1013937090.0,커피3,청포도에이드1,에이드1,,,커피3,청포도에이드1,에이드1,만족도3,분위기2,,,,,
카페리코,11562617.0,커피9,샌드위치2,아메리카노2,라떼2,스무디2,맛19,서비스9,만족도8,가격3,메뉴3,커피가 맛있어요,친절해요,음료가 맛있어요,가성비가 좋아요,매장이 청결해요
파도바,1409319673.0,,,,,,,,,,,,,,,
쏘잉구떼 양과점,1428844673.0,,,,,,푸딩1,브레드1,맛1,만족도1,,,,,,
데이지카페,1238217011.0,커피8,스콘1,쥬스1,,,커피8,스콘1,쥬스1,만족도14,맛5,커피가 맛있어요,대화하기 좋아요,친절해요,음료가 맛있어요,매장이 청결해요
아이스프링카페,1900352602.0,커피8,스무디4,치아바타3,라떼2,아메리카노2,만족도28,맛15,분위기5,서비스5,가격4,커피가 맛있어요,가성비가 좋아요,친절해요,대화하기 좋아요,음료가 맛있어요
오몽듀,1883552123.0,마카롱10,쿠키5,푸딩2,커피2,르뱅쿠키2,맛17,만족도11,서비스7,목적4,분위기2,친절해요,특별한 메뉴가 있어요,빵이 맛있어요,매장이 청결해요,커피가 맛있어요
