,name,cafe_type
186,라인드한남 브런치,브런치
187,사계,라이브카페
188,와이,카페
189,철그릴앤백미당 한남점,카페
190,브레드웨이,베이커리
191,크레이브,"카페,디저트"
192,이스탄불딜라이트 2호점,베이커리
194,어썸라운지이태원점,"카페,디저트"
195,오예,카페
196,투어디테이블,카페
197,파머씨,"과일,주스전문점"
198,카페 마체베트,카페
199,국화꽃향기,카페
200,아파시아나또,카페
201,프라넬,카페
202,포피힐스,"카페,디저트"
203,다니엘커피숍,카페
204,샤인,라이브카페
205,레이크원,"카페,디저트"
206,도로시포트,카페
207,따우전드 신사점,"카페,디저트"
208,로알드앤달,"카페,디저트"
209,에그쉘 용산본점,"카페,디저트"
210,키에리,케이크전문
211,에뚜왈 가로수길점,베이커리
212,더베이커스테이블,베이커리
213,태극당,베이커리
214,서울신라호텔 패스트리부티크,베이커리
215,SADDLER HAUS,와플
216,"케르반 카페, 디저트&브런치",베이커리
217,쇼토,"카페,디저트"
218,카페타자기,"카페,디저트"
219,마일스톤 커피,카페
220,리사르커피,"카페,디저트"
221,케이코스랜드,"카페,디저트"
222,쿠라우니,"카페,디저트"
223,리프커피,카페
224,비스테까,이탈리아음식
225,누데이크 신사,"카페,디저트"
226,듀자미,"카페,디저트"
227,플랜트,카페
228,쉘터 해방,"카페,디저트"
229,플라워베이커리 가로수길점,베이커리
230,나따오비까 신사점,"카페,디저트"
231,오잇,"카페,디저트"
232,레인리포트,"카페,디저트"
233,코끼리베이글,"카페,디저트"
234,삐아프,초콜릿전문점
235,크림라벨 신사점,케이크전문
236,퀸즈베리도넛하우스,도넛
237,프론트서울,카페
238,르몽블랑,"카페,디저트"
239,알페도,베이커리
240,마이페이보릿쿠키테리아,"카페,디저트"
241,펄시커피,카페
242,LOWIDE 압구정,"카페,디저트"
243,스타벅스 서울웨이브아트센터점,카페
244,이치서울,"카페,디저트"
245,쁠로13,베이커리
246,테이프,"카페,디저트"
247,크림커넥션,"카페,디저트"
248,비파티세리,베이커리
249,외계인방앗간 본점,베이커리
250,커피그래,"카페,디저트"
251,챔프커피 제2작업실,"카페,디저트"
252,빵굼터 약수동점,베이커리
253,토스티데이즈,"카페,디저트"
254,카페 와일드덕,"카페,디저트"
255,테일러커피 신사점,카페
256,오띠젤리,베이커리
257,파치노 에스프레소 바,카페
258,샌드커피 논탄토 신사,카페
259,LE CAFE,"카페,디저트"
260,올드페리도넛 가로수길점,도넛
261,아우어베이커리 가로수길점,베이커리
262,빵어니스타 이태원점,베이커리
263,미니마이즈,"카페,디저트"
264,콘웨이커피,"카페,디저트"
265,C27 가로수길점,카페
266,유키모찌 신사점,아이스크림
267,널담은공간 해방촌점,카페
268,맥파이앤타이거 신사티룸,"카페,디저트"
269,라비앙코코,"카페,디저트"
270,청수당갤러리,"카페,디저트"
271,카페구할구 남산,카페
272,히트커피 로스터스 신사,"카페,디저트"
273,무진장,카페
274,팬케이크샵 가로수길점,"카페,디저트"
275,로컬빌라베이글,베이글
276,약수터,"카페,디저트"
277,소나,카페
278,오버트,카페
279,빵어니스타 압구정점,베이커리
280,파치노 에스프레소 바 Ver.2,"카페,디저트"
281,하우스 커피 앤 디저트,"카페,디저트"
282,홍만당 가로수길점,"카페,디저트"
283,팬케이크샵,"카페,디저트"
284,헤베커피,카페
285,마커마크,"카페,디저트"
286,도나르,베이커리
287,하이디하우스 본점,"카페,디저트"
288,업스탠딩,카페
289,소서원,"카페,디저트"
290,식물학,카페
291,랜디스도넛 가로수길점,도넛
292,당옥,"카페,디저트"
293,님부스커피,"카페,디저트"
294,로너,카페
295,웨스트빙고,카페
296,경성미술관,"카페,디저트"
297,아가젤라또,아이스크림
298,르시앙블랑,베이커리
299,코타티 해방촌,아이스크림
300,우나하우스 현대백화점 압구정본점,"카페,디저트"
301,빽다방 신사사거리점,테이크아웃커피
302,비욘드문,"카페,디저트"
303,코지빌라커피,카페
